//=======================================================
//FACEBOOK: https://www.facebook.com/mukynguyen/
//Zalo + SĐT : 0968092399
//Hỗ Trợ Config Sever Muonline MU KỶ NGUYÊN
//=======================================================
0
//MonsterID	Bright	Golden
43			1       1
53          1       1
54          1       1
78          1       1
79          1       1
80          1       1
81          1       1
82          1       1
83          1       1
493         1       1
495         1       1
496         1       1
497         1       1
498         1       1
499         1       1
500         1       1
501         1       1
502         1       1
703         1       1
704         1       1
705         1       1
706         1       1
707         1       1
end
