//=================================================================================================================
//					FACEBOOK: https://www.facebook.com/mukynguyen/
//					Zalo + SĐT : BQT MU KỶ NGUYÊN
//					Name : MU KỶ NGUYÊN
//=======Cung Cấp Sever Mu Online========
//-Phiên Bản
//+DLL Clasic Cutsom Có Đủ
//+5.2 FPS 120 Siêu Mượt
//======Hỗ Trợ=========
//+Config Sever Theo Ý Muốn
//+Dịch Vụ VPS Hosting Tên Miền Antihack
//=================================================================================================================
//In	IIndex	DefA	IncDmgA	IncDmgB	DecDmgA	DecDmgB	Opt1	Opt1	Opt2	Opt2   	Opt3	Opt3	NewOpt1	NewOpt1	NewOpt2	NewOpt2	NewOpt3	NewOpt3	NewOpt4	NewOpt4	ModelType	IsCape	ModelName
1       6294    4       139     2       61      2       80      4       85      1       83      4       106     4       108     4       107     4       111     4       0           0		"Wing200"
2       6295    4       139     2       61      2       80      4       85      1       83      4       106     4       108     4       107     4       111     4       0           0		"Wing201"
3       6296    4       139     2       61      2       80      4       85      1       83      4       106     4       108     4       107     4       111     4       0           0		"Wing202"
4       6297    4       139     2       61      2       80      4       85      1       83      4       106     9       108     9       107     9       111     9       0           0		"ConquerorWing"
5       6298    4       139     2       61      2       80      4       85      1       83      4       106     9       108     9       107     9       111     9       0           0		"angel_devil_wing"
6       6299    4       139     2       61      2       80      4       85      1       83      4       106     4       108     4       107     4       111     4       1           4		"cape_of_death"
7       6300    4       139     2       61      2       80      4       85      1       83      4       106     7       108     7       107     7       111     7       0           0		"Wing401"
8       6301    4       139     2       61      2       80      4       85      1       83      4       106     7       108     7       107     7       111     7       0           0		"Wing402"
9       6302    4       139     2       61      2       80      4       85      1       83      4       106     7       108     7       107     7       111     7       0           0		"Wing403"
10      6303    4       139     2       61      2       80      4       85      1       83      4       106     7       108     7       107     7       111     7       0           0		"Wing404"
11      6304    4       139     2       61      2       80      4       85      1       83      4       106     7       108     7       107     7       111     7       1           4		"Wing405"
12      6305    4       139     2       61      2       80      4       85      1       83      4       106     7       108     7       107     7       111     7       0           0		"Wing406"
13      6306    4       139     2       61      2       80      4       85      1       83      4       106     7       108     7       107     7       111     7       1           4		"Wing407"

//Wing Custom
14		6344	4		139		2		61		2		80		4		85		1		83		4		106		20		108		20		107		20		111		20		0			0       "WingCustom1"			   
15		6345	4		139		2		61		2		80		4		85		1		83		4		106		22		108		22		107		22		111		22		0			0       "WingCustom2"			   
16		6346	4		139		2		61		2		80		4		85		1		83		4		106		24		108		24		107		24		111		24		0			0       "WingCustom3"			   
17		6347	4		139		2		61		2		80		4		85		1		83		4		106		26		108		26		107		26		111		26		0			0       "WingCustom4"			   
18		6348	4		139		2		61		2		80		4		85		1		83		4		106		28		108		28		107		28		111		28		0			0       "WingCustom5"			   


end
