//|================================================================|
//| MUXTEAM.COM Chỉnh sửa Cash Shop                                 |
//| Credit: MUXTEAM.COM/MU Online                          [MUXTEAM.COM] |
//|================================================================|
//ID	Number	Value	Item	Level	Skill	Luck	Option	ExOpt	AncOp	JOH	Oexe	Socket1	Socket2	Socket3	Socket4	Socket5	Qtd	Duration	Comment
1000	1000	10000	7221	4	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Bùa Tăng Tỉ Lệ (5%)
1010	1010	20000	7264	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Bùa kết hợp Chaos
1020	1020	30000	6720	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Đại Quỷ (1 Ngày)
1020	1021	60000	6720	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Đại Quỷ (7 Ngày)
1020	1022	250000	6720	0	0	0	0	0	0	0	0	255	255	255	255	255	0	2592000	// Đại Quỷ (30 Ngày)
1030	1030	10000	6700	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Bùa thiên sứ (1 Ngày)
1030	1031	60000	6700	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Bùa thiên sứ (7 Ngày)
1030	1032	250000	6700	0	0	0	0	0	0	0	0	255	255	255	255	255	0	2592000	// Bùa thiên sứ (30 Ngày)
1040	1040	2000	6704	0	0	0	0	0	0	0	0	255	255	255	255	255	1	0	// Vé Kalima (1 Lần)
1040	1041	18000	6704	0	0	0	0	0	0	0	0	255	255	255	255	255	10	0	// Vé Kalima (10 Lần)
1050	1050	2000	6703	0	0	0	0	0	0	0	0	255	255	255	255	255	1	0	// Vé Huyết Lâu(1 Lần)
1050	1051	18000	6703	0	0	0	0	0	0	0	0	255	255	255	255	255	10	0	// Vé Huyết Lâu (10 Lần)
1060	1060	5000	6699	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Bùa kinh nghiệm (1 Ngày)
1060	1061	30000	6699	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Bùa kinh nghiệm (7 Ngày)
1060	1062	100000	6699	0	0	0	0	0	0	0	0	255	255	255	255	255	0	2592000	// Bùa kinh nghiệm (30 Ngày)
1070	1070	30000	6736	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Gấu Trúc (1 Ngày)
1070	1071	60000	6736	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Gấu Trúc (7 Ngày)
1070	1072	250000	6736	0	0	0	0	0	0	0	0	255	255	255	255	255	0	2592000	// Gấu Trúc (30 Ngày)
1080	1080	20000	6732	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Nhẫn Biến Gấu Trúc (1 Ngày)
1080	1081	60000	6732	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Nhẫn Biến Gấu Trúc (7 Ngày)
1090	1090	10000	6749	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Bùa Master (1 Ngày)
1090	1091	60000	6749	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Bùa Master (7 Ngày)
1090	1092	250000	6749	0	0	0	0	0	0	0	0	255	255	255	255	255	0	2592000	// Bùa Master (30 Ngày)
1100	1100	15000	6750	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Bùa Siêu Master (1 Ngày)
1100	1101	100000	6750	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Bùa Siêu Master (7 Ngày)
1100	1102	400000	6750	0	0	0	0	0	0	0	0	255	255	255	255	255	0	2592000	// Bùa Siêu Master (30 Ngày)
1110	1110	20000	6779	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Rồng Xương (1 Ngày)
1110	1111	60000	6779	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Rồng Xương (7 Ngày)
1120	1120	20000	6778	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Nhẫn Biến Người Xương (1 Ngày)
1120	1121	60000	6778	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Nhẫn Biến Người Xương (7 Ngày)
1130	1130	20000	6760	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Tăng Tối Đa AG (1 Ngày)
1130	1131	60000	6760	0	0	0	0	0	0	0	0	255	255	255	255	255	0	259200	// Tăng Tối Đa AG (3 Ngày)
1130	1132	140000	6760	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Tăng Tối Đa AG (7 Ngày)
1140	1140	2000	6702	0	0	0	0	0	0	0	0	255	255	255	255	255	1	0	// Vé Quảng Trường Quỷ (1 Lần)
1140	1141	18000	6702	0	0	0	0	0	0	0	0	255	255	255	255	255	10	0	// Vé Quảng Trường Quỷ (10 Lần)
1150	1150	20000	6761	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Tăng Tối Đa SD (1 Ngày)
1150	1151	60000	6761	0	0	0	0	0	0	0	0	255	255	255	255	255	0	259200	// Tăng Tối Đa SD (3 Ngày)
1150	1152	140000	6761	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Tăng Tối Đa SD (7 Ngày)
1160	1160	5000	7240	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Bùa Tốc Độ (1 Ngày)
1160	1161	15000	7240	0	0	0	0	0	0	0	0	255	255	255	255	255	0	259200	// Bùa Tốc Độ (3 Ngày)
1160	1162	35000	7240	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Bùa Tốc Độ (7 Ngày)
1170	1170	5000	7241	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Bùa Phòng Thủ (1 Ngày)
1170	1171	15000	7241	0	0	0	0	0	0	0	0	255	255	255	255	255	0	259200	// Bùa Phòng Thủ (3 Ngày)
1170	1172	35000	7241	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Bùa Phòng Thủ (7 Ngày)
1180	1180	5000	7242	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Bùa Tăng Sát Thương (31Ngày)
1180	1181	15000	7242	0	0	0	0	0	0	0	0	255	255	255	255	255	0	259200	// Bùa Tăng Sát Thương (3 Ngày)
1180	1182	35000	7242	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Bùa Tăng Sát Thương (7 Ngày)
1190	1190	5000	7244	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Bùa Tăng HP (1 Ngày)
1190	1191	15000	7244	0	0	0	0	0	0	0	0	255	255	255	255	255	0	259200	// Bùa Tăng HP (3 Ngày)
1190	1192	35000	7244	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Bùa Tăng HP (7 Ngày)
1200	1200	5000	7243	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Bùa Tăng Ma Thuật (1 Ngày)
1200	1201	15000	7243	0	0	0	0	0	0	0	0	255	255	255	255	255	0	259200	// Bùa Tăng Ma Thuật (3 Ngày)
1200	1202	35000	7243	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Bùa Tăng Ma Thuật (7 Ngày)
1210	1210	5000	7245	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Bùa Tăng Mana (1 Ngày)
1210	1211	15000	7245	0	0	0	0	0	0	0	0	255	255	255	255	255	0	259200	// Bùa Tăng Mana (3 Ngày)
1210	1212	35000	7245	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Bùa Tăng Mana (7 Ngày)
1220	1220	50000	7330	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Mở rộng thùng đồ (1 UN)
1230	1230	20000	7265	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Bùa Tăng Chí Mạng (1 Ngày)
1230	1231	15000	7265	0	0	0	0	0	0	0	0	255	255	255	255	255	0	259200	// Bùa Tăng Chí Mạng (3 Ngày)
1230	1232	35000	7265	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Bùa Tăng Chí Mạng (7 Ngày)
1240	1240	20000	7266	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Bùa Tăng Hoàn Hảo (1 Ngày)
1240	1241	15000	7266	0	0	0	0	0	0	0	0	255	255	255	255	255	0	259200	// Bùa Tăng Hoàn Hảo (3 Ngày)
1240	1242	35000	7266	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Bùa Tăng Hoàn Hảo (7 Ngày)
1250	1250	100000	7331	0	0	0	0	0	0	0	0	255	255	255	255	255	0	0	// Mở rộng thùng đồ chung (1 UN)
1350	1350	30000	6762	0	0	0	0	0	0	0	0	255	255	255	255	255	255	86400	// Thần Mã (1 Ngày)
1350	1351	60000	6762	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Thần Mã (7 Ngày)
1350	1352	250000	6762	0	0	0	0	0	0	0	0	255	255	255	255	255	0	2592000	// Thần Mã (30 Ngày)
end
