//=================================================================================================================
//					FACEBOOK: https://www.facebook.com/mukynguyen/
//					Zalo + SĐT : BQT MU KỶ NGUYÊN
//					Name : MU KỶ NGUYÊN
//=======Cung Cấp Sever Mu Online========
//-Phiên Bản
//+DLL Clasic Cutsom Có Đủ
//+5.2 FPS 120 Siêu Mượt
//======Hỗ Trợ=========
//+Config Sever Theo Ý Muốn
//+Dịch Vụ VPS Hosting Tên Miền Antihack
//=================================================================================================================//=================================================================================================================
//  RankIndex ->  Index do Ranking
//  Name      ->  Titulo do Rank
//  ResetMin  ->  Minimo de Resets para determinado Rank
//  ResetMin  ->  Maximo de Resets para determinado Rank
//=================================================================================================================
//-- Obs: Obrigatorio o Ultimo Rank o ResetMax ter o valor (-1)
//=================================================================================================================

//=================================================================================================================
//     #RankIndex          #Name            #ResetMin        #ResetMax       #Cash      #Gold     #PcPoint		 
//=================================================================================================================
0
            0            "Tân Thủ"             		0               30               0          0           0		
            1            "Binh Nhất"           		31              60               0        	0           0	
            2            "Binh Nhì"         		61              90               0          0           0	
            3            "Hạ Sĩ"            		91              120              0          0           0	
            4            "Trung Sĩ"           		121             150              0          0           0	
            5            "Thượng Sĩ"           		151             180              0          0           0	
            6            "Thiếu Uý"           		181             210              0          0           0	
            7            "Trung Uý"          		211             240              0          0           0	
            8            "Thượng Uý"            	241             270              0          0           0	
            9            "Đại Uý"            		271             300              0          0           0	
            10           "Thiếu Tá"          		301             330              0          0           0	
            11           "Trung Tá"          		331             360              0          0           0	
            12           "Thượng Tá"          		361             390              0          0           0	
            13           "Đại Tá"      				391             420              0          0           0	
            14           "Chuẩn Tướng"         		421             450              0          0           0	
            15           "Thiếu Tướng"            	451             480              0          0           0	
            16           "Trung Tướng"         		481             510              0          0           0	
            17           "Thượng Tướng"   		    511             540              0          0           0	
            18           "Đại Tướng"     			541             570              0          0           0	
            19           "Nguyên Soái"  			571             600              0          0           0	
            20           "Nguyên Soái"   			601             630              0          0           0	
            21           "Nguyên Soái"            	631             660              0          0           0
end
