//=================================================================================================================
//					FACEBOOK: https://www.facebook.com/mukynguyen/
//					Zalo + SĐT : BQT MU KỶ NGUYÊN
//					Name : MU KỶ NGUYÊN
//=======Cung Cấp Sever Mu Online========
//-Phiên Bản
//+DLL Clasic Cutsom Có Đủ
//+5.2 FPS 120 Siêu Mượt
//======Hỗ Trợ=========
//+Config Sever Theo Ý Muốn
//+Dịch Vụ VPS Hosting Tên Miền Antihack
//=================================================================================================================
//OptionValue	: Giá trị của OptionIndex
//ItemIndexMin	: Index của item trong Item.txt
//ItemIndexMax	: Index của item trong Item.txt
//ItemLevel		: Level Item = hoặc lớn hơn số này mới có tác dụng
//ItemOption1	: 1 Cần có Skill mới có tác dụng
//ItemOption2	: 1 Cần có Luck mới có tác dụng
//ItemOption3	: 1 Cần có OptionLife mới có tác dụng
//ItemNewOption	: -61 toàn bộ item là exc đều có tác dụng
//				: OptionExc = config mới có tác dụng (1,2,4,8,16,32,64) (VD sói hoàng kim OptionExc = 4)
//OptionIndex
//Add Physi Damage = 80
//Add Magic Damage = 81
//Add Defense Success Rate = 82
//Add Defense = 83
//Add Critical Damage Rate = 84
//Add HP Recovery Rate = 85
//Add Money Amount Drop Rate = 86
//Mul Defense Success Rate = 87
//Add Damage Reflect = 88							; Phản Sát Thương
//Add Damage Reduction = 89                         ; Giảm sát thương
//Mul MP = 90
//Mul HP = 91
//Add Excellent Damage Rate = 92
//Add Physi Damage By Level = 93
//Mul Physi Damage = 94
//Add Magic Damage By Level = 95
//Mul Magic Damage = 96
//Add Speed = 97
//Add Hunt HP = 98
//Add Hunt MP = 99
//Add Wing HP = 100
//Add Wing MP = 101
//Add Ignore Defense Rate = 102						; Bỏ qua tỷ lệ phòng thủ
//Add BP = 103
//Mul BP = 104
//Add Wing Leadershio = 105
//Add Sói tinh1 = 106
//Add Sói tinh2 = 107
//Add Sói tinh3 = 108
//Add Full Damage Reflect Rate = 109
//Add Defensive Full HP Restore Rate = 110
//Add Defensive Full MP Restore Rate = 111
//Add Quái Điểu = 112
//Add Curse Damage = 113
//Add Curse Damage By Level = 114
//Mul Curse Damage = 115
//Add Double Damage Rate = 116
//Add Experience = 117								; Tăng EXP
//Add Experience Combo = 118
//Add HP = 119
//Add MP = 120
//Add HP By Level = 121
//Add MP By Level = 122
//Add Damage = 123
//Add Damage By Level = 124
//Mul Damage = 125
//Add Defense By Level = 126
//Mul Defense = 127
//Add X3Dame Rate = 128
//Add Res X2 Dame Rate = 129
//Add Resignoredefense rate = 130
//Add Ignore Shiles Rate = 131
//Add Res Crit Dame Rate = 132
//Add Res Exc Dame Rate = 133
//Add Stuck Dame Rate = 134
//Add Res Stun Rate = 135
//=================================================================================================================
//Index   OptionIndex   OptionValue   ItemMinIndex   ItemMaxIndex   ItemOption1   ItemOption2   ItemOption3   ItemNewOption   Comment
0         0             0             0000           2559           1             *             *             *               //Vũ khí chung
0         0             0             2580           2589           *             *             *             *               //Sách chung
0         0             0             3072           3583           1             *             *             *               //Khiên chung
0         49            0             6659           6659           *             *             *             *               //Quái Điểu
0         62            0             6660           6660           *             *             *             *               //Dark Horse
0         76            0             6693           6693           *             *             *             *               //Linh Hồn Sói Tinh
1         84            5             0000           2559           *             1             *             *               //Vũ khí chung
1         84            5             2560           2579           *             1             *             *               //Gậy chung
1         84            5             2580           2589           *             1             *             *               //Sách chung
1         84            5             2590           3071           *             1             *             *               //Gậy chung
1         84            5             3072           3583           *             1             *             *               //Khiên chung
1         84            5             3584           6143           *             1             *             *               //Giáp chung
1         84            5             6144           6144           *             1             *             *               //Cánh Tiên Nữ
1         84            5             6145           6145           *             1             *             *               //Cánh Thiên Đàng
1         84            5             6146           6146           *             1             *             *               //Cánh Quỷ
1         84            5             6147           6147           *             1             *             *               //Cánh Tinh Thần
1         84            5             6148           6148           *             1             *             *               //Cánh Linh Hồn
1         84            5             6149           6149           *             1             *             *               //Cánh Rồng
1         84            5             6150           6150           *             1             *             *               //Cánh Bóng Đêm
1         84            5             6180           6180           *             1             *             *               //Cánh Cuồng Phong
1         84            5             6181           6181           *             1             *             *               //Cánh Thiên Sứ
1         84            5             6182           6182           *             1             *             *               //Cánh Ngũ Sắc
1         84            5             6183           6183           *             1             *             *               //Cánh Lôi Vũ
1         84            5             6184           6184           *             1             *             *               //Áo Choàng Đế Vương
1         84            5             6185           6185           *             1             *             *               //Cánh Vũ Linh
1         84            5             6186           6186           *             1             *             *               //Cánh Hỏa Thiên
1         84            5             6187           6187           *             1             *             *               //Cánh Phượng Hoàng
1         84            5             6193           6193           *             1             *             *               //Áo Choàng Chiến Binh
1         84            5             6194           6194           *             1             *             *               //Áo Choàng Uy Quyền
1         84            5             6686           6686           *             1             *             *               //Áo Choàng

1         84            5             6294           6294           *             1             *             *               //Cánh Hỗn Nguyên 
1         84            5             6295           6295           *             1             *             *               //Cánh Ma Thuật
1         84            5             6296           6296           *             1             *             *               //Cánh Hỏa Thần
1         84            5             6299           6299           *             1             *             *               //Áo Choàng Tử Thần

1         84            5             6300           6300           *             1             *             *               //Cánh SS13 - DW	
1         84            5             6301           6301           *             1             *             *               //Cánh SS13 - DK	
1         84            5             6302           6302           *             1             *             *               //Cánh SS13 - ELF	
1         84            5             6303           6303           *             1             *             *               //Cánh SS13 - MG
1         84            5             6304           6304           *             1             *             *               //Cánh SS13 - DL	
1         84            5             6305           6305           *             1             *             *               //Cánh SS13 - SM
1         84            5             6306           6306           *             1             *             *               //Cánh SS13 - RF	

1         84            5             6297           6297           *             1             *             *               //Cánh Chinh Phục
1         84            5             6298           6298           *             1             *             *               //Cánh Ác Quỷ
//=================================================================================================================
