//=================================================================================================================
//					FACEBOOK: https://www.facebook.com/mukynguyen/
//					Zalo + SĐT : BQT MU KỶ NGUYÊN
//					Name : MU KỶ NGUYÊN
//=======Cung Cấp Sever Mu Online========
//-Phiên Bản
//+DLL Clasic Cutsom Có Đủ
//+5.2 FPS 120 Siêu Mượt
//======Hỗ Trợ=========
//+Config Sever Theo Ý Muốn
//+Dịch Vụ VPS Hosting Tên Miền Antihack
//=================================================================================================================
0
//Cycle
7
end

1
//Sự kiện   Ngày   Giờ   Phút
	1	  	 0	    15	  15        // 1 Đăng ký CTC
	2	  	 0	    15	  16        // 2 Thời gian chờ đợi
	3	  	 0	    15	  17        // 3 Nạp rena
	4	  	 0	    15	  18        // 4 Thời gian chờ đợi
	5	  	 0	    15	  19        // 5 Thông báo guild công thành
	6	  	 0	    15	  20        // 6 Chuẩn bị sự kiện
	7	  	 0	    15	  21        // 7 Bắt đầu công thành
	8	  	 0	    15	  26        // 8 Kết thúc công thành
	9	  	 7	    0	  0         // 9 Kết thúc sự kiện (tự động restart về 1) & bắt đầu cho sự kiến mới .
end

2
//Monster   Index   Side   DBSave   DFLevel   RGLevel   MaxLife   X      Y      TX      TY      Dir
283	    1	    1	   1	    0	      0	        400000	  94     227	-1	-1      1
283	    2	    1	   1	    0	      0	        400000	  94     182	-1	-1      1
283	    3	    1	   1	    0	      0	        400000	  82     130	-1	-1      1
283	    4	    1	   1	    0	      0	        400000	  107	 130	-1	-1      1
277	    1	    1	   1	    0	      0	        500000	  93	 204	-1	-1      1
277	    2	    1	   1	    0	      0	        500000	  81	 161	-1	-1      1
277	    3	    1	   1	    0	      0	        500000	  107	 161	-1	-1      1
277	    4	    1	   1	    0	      0	        500000	  67	 114	-1	-1      1
277	    5	    1	   1	    0	      0	        500000	  93	 114	-1	-1      1
277	    6	    1	   1	    0	      0	        500000	  119	 114	-1	-1      1
288	    1	    0	   1	    0	      0	        800000	  75	 130	-1	-1      1
288	    2	    0	   1	    0	      0	        800000	  88	 130	-1	-1      1
288	    3	    0	   1	    0	      0	        800000	  99	 130	-1	-1      1
288	    4	    0	   1	    0	      0	        800000	  114	 130	-1	-1      1
288	    5	    0	   1	    0	      0	        800000	  94	 151	-1	-1      1
288	    6	    0	   1	    0	      0	        800000	  88	 182	-1	-1      1
288	    7	    0	   1	    0	      0	        800000	  100	 182	-1	-1      1
288	    8	    0	   1	    0	      0	        800000	  94	 221	-1	-1      1
288	    9	    0	   1	    0	      0	        800000	  94	 233	-1	-1      1
215	    1	    0	   1	    0	      0	        10000	  94	 242	-1	-1      1
222	    1	    0	   1	    0	      0	        10000	  80	 188	-1	-1      1
222	    2	    0	   1	    0	      0	        10000	  105	 188	-1	-1      1
221	    1	    0	   2	    0	      0	        10000	  63	 19	-1	-1      5
221	    2	    0	   2	    0	      0	        10000	  119	 19	-1	-1      5
end
