//=================================================================================================================
//					FACEBOOK: https://www.facebook.com/mukynguyen/
//					Zalo : BQT MU KỶ NGUYÊN
//					Name : MU KỶ NGUYÊN
//=====================File config Drop Item Sever===================
//=====================Không Biết Config Liên Hệ Người Bán sever Để Được Hỗ Trợ Nhé !
//=================================================================================================================
0
//EventName				DropZen		ItemDropRate	ItemDropCount	SetItemDropRate		ItemDropType	Fireworks
"Dark Elf"		1000		100				1				0					0				0
end

1
//===========================================Item Thường Không Có Excellent==========================================
//==========================================Vũ Khí Cấp 1====================================================
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent   SetOption	    Tỉ Lệ	NameItem
0           0       0          3          0       1      1        0             0        100      //[Cấp1]Chùy Thủ
0           1       0          3          0       1      1        0             0        100      //[Cấp1]Đoản Đao
0           2       0          3          0       1      1        0             0        100      //[Cấp1]Trường Kiếm
0           3       0          3          1       1      1        0             0        100      //[Cấp1]Kiếm Nhật	
0           4       0          3          1       1      1        0             0        100      //[Cấp1]Đao Sát Thủ
0           6       0          3          1       1      1        0             0        100      //[Cấp1]Kiếm La Mã	 
0           7       0          3          1       1      1        0             0        100      //[Cấp1]Mã Tấu	 
0           8       0          3          1       1      1        0             0        100      //[Cấp1]Xà Đao	 
1           0       0          3          1       1      1        0             0        100      //[Cấp1]Rìu Nhỏ	
1           1       0          3          1       1      1        0             0        100      //[Cấp1]Rìu Nhẹ	
1           2       0          3          1       1      1        0             0        100      //[Cấp1]Rìu Lưỡi Hái
1           3       0          3          1       1      1        0             0        100      //[Cấp1]Rìu Thợ Săn
1           4       0          3          1       1      1        0             0        100      //[Cấp1]Rìu Tiên Nữ
2           0       0          3          1       1      1        0             0        100      //[Cấp1]Chùy
2           3       0          3          1       1      1        0             0        100      //[Cấp1]Bùa Chiến
3           0       0          3          1       1      1        0             0        100      //[Cấp1]Giáo Ánh Sáng	
3           1       0          3          1       1      1        0             0        100      //[Cấp1]Giáo		
3           2       0          3          1       1      1        0             0        100      //[Cấp1]Thương			
3           3       0          3          1       1      1        0             0        100      //[Cấp1]Đinh Ba			
3           4       0          3          1       1      1        0             0        100      //[Cấp1]Xà Giáo		
3           6       0          3          1       1      1        0             0        100      //[Cấp1]Kích
4           0       0          3          1       1      1        0             0        100      //[Cấp1]Cung Nhỏ
4           1       0          3          1       1      1        0             0        100      //[Cấp1]Cung		
4           2       0          3          1       1      1        0             0        100      //[Cấp1]Cung Hoa	
4           3       0          3          1       1      1        0             0        100      //[Cấp1]Cung Chiến	
4           4       0          3          1       1      1        0             0        100      //[Cấp1]Cung Hổ		
4           8       0          3          1       1      1        0             0        100      //[Cấp1]Nỏ			
4           9       0          3          1       1      1        0             0        100      //[Cấp1]Nỏ Vàng		
4           10      0          3          1       1      1        0             0        100      //[Cấp1]Nỏ Thép		
4           11      0          3          1       1      1        0             0        100      //[Cấp1]Nỏ Ánh Sáng	
4           12      0          3          1       1      1        0             0        100      //[Cấp1]Nỏ Rắn"		
5           0       0          3          0       1      1        0             0        100      //[Cấp1]Gậy Xương	
5           1       0          3          0       1      1        0             0        100      //[Cấp1]Gậy Tiên	
5           2       0          3          0       1      1        0             0        100      //[Cấp1]Gậy Rắn	
6           0       0          3          1       1      1        0             0        100      //[Cấp1]Khiên Tròn		
6           1       0          3          1       1      1        0             0        100      //[Cấp1]Khiên Sừng		
6           2       0          3          1       1      1        0             0        100      //[Cấp1]Khiên Diều		

//======================================================Sét Đồ Cấp 1=============================================
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent   SetOption	    Tỉ Lệ	NameItem
7           0       0          3          0       1      1        0             0        100      //[Cấp1]Sét Đồng            
8           0       0          3          0       1      1        0             0        100      //[Cấp1]Sét Đồng            
9           0       0          3          0       1      1        0             0        100      //[Cấp1]Sét Đồng            
10          0       0          3          0       1      1        0             0        100      //[Cấp1]Sét Đồng            
11          0       0          3          0       1      1        0             0        100      //[Cấp1]Sét Đồng            
7           5       0          3          0       1      1        0             0        100      //[Cấp1]Sét Da         
8           5       0          3          0       1      1        0             0        100      //[Cấp1]Sét Da         
9           5       0          3          0       1      1        0             0        100      //[Cấp1]Sét Da         
10          5       0          3          0       1      1        0             0        100      //[Cấp1]Sét Da         
11          5       0          3          0       1      1        0             0        100      //[Cấp1]Sét Da         
7           2       0          3          0       1      1        0             0        100      //[Cấp1]Sét Vải Thô        
8           2       0          3          0       1      1        0             0        100      //[Cấp1]Sét Vải Thô        
9           2       0          3          0       1      1        0             0        100      //[Cấp1]Sét Vải Thô        
10          2       0          3          0       1      1        0             0        100      //[Cấp1]Sét Vải Thô        
11          2       0          3          0       1      1        0             0        100      //[Cấp1]Sét Vải Thô        
7           10      0          3          0       1      1        0             0        100      //[Cấp1]Sét Trinh Nữ     
8           10      0          3          0       1      1        0             0        100      //[Cấp1]Sét Trinh Nữ     
9           10      0          3          0       1      1        0             0        100      //[Cấp1]Sét Trinh Nữ     
10          10      0          3          0       1      1        0             0        100      //[Cấp1]Sét Trinh Nữ     
11          10      0          3          0       1      1        0             0        100      //[Cấp1]Sét Trinh Nữ     
7           11      0          3          0       1      1        0             0        100      //[Cấp1]Sét Lụa       
8           11      0          3          0       1      1        0             0        100      //[Cấp1]Sét Lụa       
9           11      0          3          0       1      1        0             0        100      //[Cấp1]Sét Lụa       
10          11      0          3          0       1      1        0             0        100      //[Cấp1]Sét Lụa       
11          11      0          3          0       1      1        0             0        100      //[Cấp1]Sét Lụa       
end
