//=================================================================================================================
//					FACEBOOK: https://www.facebook.com/mukynguyen/
//					Zalo + SĐT : BQT MU KỶ NGUYÊN
//					Name : MU KỶ NGUYÊN
//=======Cung Cấp Sever Mu Online========
//-Phiên Bản
//+DLL Clasic Cutsom Có Đủ
//+5.2 FPS 120 Siêu Mượt
//======Hỗ Trợ=========
//+Config Sever Theo Ý Muốn
//+Dịch Vụ VPS Hosting Tên Miền Antihack
//=================================================================================================================
//Class    = 0,1,2	DW,SM,GM
//	   = 16,17,18	DK,BK,BM
//	   = 32,33,34	Elf,ME,HE
//	   = 48,49,50	MG,DM
//	   = 64,65,66	DL,LE
//	   = 80,81,82	SU,BS,DS
//	   = 83 84 RF

//BotPet Items
//Slot:
//0 = Weapon
//1 = Shield
//2 = Helm
//3 = Armor
//4 = Pants
//5 = Gloves
//6 = Boots
//7 = Wings
//8 = Pet
//======================================================================================
//BotIndex		Class		OnlyVip		Name				Map		X		Y		Dir
1
	0			2			4			"TreTrau"			0		138		135		1 	// DW
	1			18			7			"CauCa"				0		143		133		2	// DK
	2			34			14			"ThichPK"			0		140		135		3	// EF
	3			82			11			"CauAm"				0		135		134		3	// SM
	4			66			13			"BoMayDay"			0		133		132		3	// DL
	5			84			12			"TuoiLon"			0		133		130		3	// RF
	6			50			22			"MGTocDo"			0		132		128		3	// MG
	7			50			15			"MuThoiDai"			0		140		121		6	// MG
	8			50			8			"Extrame"			0		134		120		6	// MG
	9			50			6			"DaGaKo"			0		136		123		4	// MG
	10			66			9			"SidaTeo"			0		136		126		2	// DL
	11			66			16			"TeoSida"			0		134		125		6	// DL
	12			66			17			"HivSike"			0		133		123		3	// DL
	13			66			6			"ABCXYZ"			0		137		129		3	// DL
	14			82			6			"Sm1VuTo"			0		135		128		3	// SM
	15			82			23			"Sm2VuTo"			0		131		125		6	// SM
	16			82			24			"Sm3VuTo"			0		136		131		6	// SM
	17			82			33			"Sm4VuTo"			0		138		119		6	// SM
	18			82			31			"Sm5VuTo"			0		135		117		4	// SM
	19			82			22			"Sm6VuTo"			0		138		124		4	// SM
	20			2			36			"TreTrau2"			0		142		122		1 	// DW
	21			2			30			"TreTrau3"			0		142		120		1 	// DW
	22			2			27			"TreTrau4"			0		140		119		1 	// DW
	23			2			25			"TreTrau5"			0		142		118		1 	// DW
	24			2			25			"TreTrau6"			0		144		119		1 	// DW
	25			2			24			"TreTrau7"			0		142		117		1 	// DW
	26			2			19			"TreTrau8"			0		140		132		1 	// DW
	27			2			20			"TreTrau9"			0		140		126		1 	// DW
end                                                                                                     

//BotIndex	Slot	Type	Index	Level	Opt
2
	27		0		5		12		15		63
	27		1		6		15		15		63
	27		2		7		18		15		63
	27		3		8		18		15		63
	27		4		9		18		15		63
	27		5		10		18		15		63
	27		6		11		18		15		63
	27		7		12		37		15		63
	27		8		13		80		15		63
	
	26		0		5		12		15		63
	26		1		6		15		15		63
	26		2		7		18		15		63
	26		3		8		18		15		63
	26		4		9		18		15		63
	26		5		10		18		15		63
	26		6		11		18		15		63
	26		7		12		37		15		63
	26		8		13		80		15		63
	
	25		0		5		12		15		63
	25		1		6		15		15		63
	25		2		7		18		15		63
	25		3		8		18		15		63
	25		4		9		18		15		63
	25		5		10		18		15		63
	25		6		11		18		15		63
	25		7		12		37		15		63
	25		8		13		80		15		63
	
	24		0		5		12		15		63
	24		1		6		15		15		63
	24		2		7		18		15		63
	24		3		8		18		15		63
	24		4		9		18		15		63
	24		5		10		18		15		63
	24		6		11		18		15		63
	24		7		12		37		15		63
	24		8		13		80		15		63
	
	23		0		5		12		15		63
	23		1		6		15		15		63
	23		2		7		18		15		63
	23		3		8		18		15		63
	23		4		9		18		15		63
	23		5		10		18		15		63
	23		6		11		18		15		63
	23		7		12		37		15		63
	23		8		13		80		15		63
	
	22		0		5		12		15		63
	22		1		6		15		15		63
	22		2		7		18		15		63
	22		3		8		18		15		63
	22		4		9		18		15		63
	22		5		10		18		15		63
	22		6		11		18		15		63
	22		7		12		37		15		63
	22		8		13		80		15		63
	
	21		0		5		12		15		63
	21		1		6		15		15		63
	21		2		7		18		15		63
	21		3		8		18		15		63
	21		4		9		18		15		63
	21		5		10		18		15		63
	21		6		11		18		15		63
	21		7		12		37		15		63
	21		8		13		80		15		63
	
	20		0		5		12		15		63
	20		1		6		15		15		63
	20		2		7		18		15		63
	20		3		8		18		15		63
	20		4		9		18		15		63
	20		5		10		18		15		63
	20		6		11		18		15		63
	20		7		12		37		15		63
	20		8		13		80		15		63
	
	19		0		5		18		15		63
	19		1		5		21		15		63
	19		2		7		42		15		63
	19		3		8		42		15		63
	19		4		9		42		15		63
	19		5		10		42		15		63
	19		6		11		42		15		63
	19		7		12		43		15		63
	19		8		13		80		15		63
	
	18		0		5		18		15		63
	18		1		5		21		15		63
	18		2		7		42		15		63
	18		3		8		42		15		63
	18		4		9		42		15		63
	18		5		10		42		15		63
	18		6		11		42		15		63
	18		7		12		43		15		63
	18		8		13		80		15		63
	
	17		0		5		18		15		63
	17		1		5		21		15		63
	17		2		7		42		15		63
	17		3		8		42		15		63
	17		4		9		42		15		63
	17		5		10		42		15		63
	17		6		11		42		15		63
	17		7		12		43		15		63
	17		8		13		80		15		63
	
