//Section	Type	StatType	OptionIndex1	OptionIndex2	Name
0			2		3			21				0				//[Cấp1]Trường Kiếm
0			14		3			11				0				//[Cấp3]Kiếm Điện
0			32		3			37				38              //[Cấp5]N.Đ Địa Long

2			1		3			1				0				//[Cấp2]Chùy Gai

4			5		3			29				0				//[Cấp2]Cung Bạc
4			9		3			23				0				//[Cấp1]Nỏ Vàng

5			0		3			13				0				//[Cấp1]Gậy Xương

6			0		3			0				2				//[Cấp1]Khiên Tròn
6			6		3			17				0				//[Cấp2]Khiên Xương
6			9		3			5				0				//[Cấp2]Khiên Gia Huy

7			0		3			0				4				//[Cấp1]Mũ Đồng"			
7			1		3			11				12				//[Cấp4]Mũ Hỏa Long"		
7			2		3			13				14				//[Cấp1]Mũ Vải Thô"		
7			3		3			19				20				//[Cấp4]Mũ Ma Thuật"		
7			4		3			0				16				//[Cấp2]Mũ Xương"		
7			5		3			1				2				//[Cấp1]Mũ Da"			
7			6		3			5				6				//[Cấp2]Mũ Trâu Xanh"	
7			7		3			17				0				//[Cấp3]Mũ Nhân Sư"		
7			8		3			0				8				//[Cấp2]Mũ Thiên Kim"	
7			9		3			0				10				//[Cấp3]Mũ Thiết Phiến"	
7			10		3			21				22				//[Cấp1]Mũ Trinh Nữ"		
7			11		3			23				0				//[Cấp1]Mũ Lụa"			
7			12		3			25				0				//[Cấp2]Mũ Thiên Thanh"	
7			13		3			0				28				//[Cấp3]Mũ Ngọc Bích"	
7			14		3			0				30				//[Cấp4]Mũ Kim Ngân"		
7			26		3			33				0				//[Cấp4]Mũ Huyền Thiết
7			40		3			35				36				//[Cấp5]Mũ Hỏa Thiên
7			59		3			37				0				//[Cấp5]Mũ Địa Long

8			0		3			3				0				//[Cấp1]Áo Đồng"			
8			1		3			0				12				//[Cấp4]Áo Hỏa Long"		
8			2		3			13				0				//[Cấp1]Áo Vải Thô"		
8			3		3			19				20				//[Cấp4]Áo Ma Thuật"		
8			4		3			15				16				//[Cấp2]Áo Xương"		
8			5		3			1				0				//[Cấp1]Áo Da"			
8			6		3			5				6				//[Cấp2]Áo Trâu Xanh"	
8			7		3			17				18				//[Cấp3]Áo Nhân Sư"		
8			8		3			7				0				//[Cấp2]Áo Thiên Kim"	
8			9		3			9				10				//[Cấp3]Áo Thiết Phiến"	
8			10		3			0				22				//[Cấp1]Áo Trinh Nữ"		
8			11		3			23				0				//[Cấp1]Áo Lụa"			
8			12		3			25				0				//[Cấp2]Áo Thiên Thanh"	
8			13		3			27				0				//[Cấp3]Áo Ngọc Bích"	
8			14		3			29				30				//[Cấp4]Áo Kim Ngân"		
8			15		3			31				32				//[Cấp4]Áo Phong Vũ"		
8			26		3			33				0				//[Cấp4]Áo Huyền Thiết
8			40		3			0				36				//[Cấp5]Áo Hỏa Thiên
8			59		3			37				38				//[Cấp5]Áo Địa Long

9			0		3			3				4				//[Cấp1]Quần Đồng"		
9			1		3			0				12				//[Cấp4]Quần Hỏa Long"	
9			2		3			13				14				//[Cấp1]Quần Vải Thô"		
9			3		3			0				20				//[Cấp4]Quần Ma Thuật"	
9			4		3			15				0				//[Cấp2]Quần Xương"		
9			5		3			1				2				//[Cấp1]Quần Da"			
9			6		3			5				6				//[Cấp2]Quần Trâu Xanh"	
9			7		3			17				18				//[Cấp3]Quần Nhân Sư"		
9			8		3			7				8				//[Cấp2]Quần Thiên Kim"	
9			9		3			0				10				//[Cấp3]Quần Thiết Phiến"	
9			10		3			21				22				//[Cấp1]Quần Trinh Nữ"	
9			11		3			23				24				//[Cấp1]Quần Lụa"			
9			12		3			25				26				//[Cấp2]Quần Thiên Thanh"	
9			13		3			27				28				//[Cấp3]Quần Ngọc Bích"	
9			14		3			0				30				//[Cấp4]Quần Kim Ngân"	
9			15		3			31				32				//[Cấp4]Quần Phong Vũ"	
9			26		3			33				34				//[Cấp4]Quần Huyền Thiết
9			40		3			35				0				//[Cấp5]Quần Hỏa Thiên
9			59		3			37				38				//[Cấp5]Quần Địa Long

10			0		3			0				4				//[Cấp1]Quần Đồng"		
10			1		3			11				0				//[Cấp4]Quần Hỏa Long"	
10			2		3			13				0				//[Cấp1]Quần Vải Thô"	
10			3		3			19				0				//[Cấp4]Quần Ma Thuật"	
10			4		3			0				16				//[Cấp2]Quần Xương"		
10			5		3			1				0				//[Cấp1]Quần Da"		
10			6		3			0				6				//[Cấp2]Quần Trâu Xanh"	
10			7		3			17				0				//[Cấp3]Quần Nhân Sư"	
10			8		3			7				0				//[Cấp2]Quần Thiên Kim"	
10			9		3			9				0				//[Cấp3]Quần Thiết Phiến"
10			10		3			21				0				//[Cấp1]Quần Trinh Nữ"	
10			11		3			23				24				//[Cấp1]Quần Lụa"		
10			12		3			25				0				//[Cấp2]Quần Thiên Thanh"
10			13		3			27				0				//[Cấp3]Quần Ngọc Bích"	
10			14		3			29				0				//[Cấp4]Quần Kim Ngân"	
10			15		3			0				32				//[Cấp4]Quần Phong Vũ"	
10			26		3			0				34				//[Cấp4]Quần Huyền Thiết
10			40		3			35				36				//[Cấp5]Quần Hỏa Thiên

11			0		3			3				0				//[Cấp1]Quần Đồng"		
11			1		3			11				0				//[Cấp4]Quần Hỏa Long"	
11			2		3			0				14				//[Cấp1]Quần Vải Thô"		
11			3		3			0				20				//[Cấp4]Quần Ma Thuật"	
11			4		3			15				16				//[Cấp2]Quần Xương"		
11			5		3			1				2				//[Cấp1]Quần Da"			
11			6		3			0				6				//[Cấp2]Quần Trâu Xanh"	
11			7		3			17				18				//[Cấp3]Quần Nhân Sư"		
11			8		3			7				0				//[Cấp2]Quần Thiên Kim"	
11			9		3			9				0				//[Cấp3]Quần Thiết Phiến"	
11			10		3			21				22				//[Cấp1]Quần Trinh Nữ"	
11			11		3			0				24				//[Cấp1]Quần Lụa"			
11			12		3			25				26				//[Cấp2]Quần Thiên Thanh"	
11			13		3			0				28				//[Cấp3]Quần Ngọc Bích"	
11			14		3			29				30				//[Cấp4]Quần Kim Ngân"	
11			15		3			31				0				//[Cấp4]Quần Phong Vũ"	
11			26		3			0				34				//[Cấp4]Quần Huyền Thiết
11			40		3			0				36				//[Cấp5]Quần Hỏa Thiên
11			59		3			0				38				//[Cấp5]Quần Địa Long

13			8		3			39				40				//"Nhẫn Băng"	
13			9		3			9				33				//"Nhẫn Độc"	
13			12		3			5				39				//"Dây Chuyền Sét"
13			13		3			7				0				//"Dây Chuyền Lửa"
13			21		3			19				32				//"Nhẫn Lửa"			
13			22		3			21				12				//"Nhẫn Đất"			
13			23		3			39				40				//"Nhẫn Gió"			
13			24		3			13				35				//"Nhẫn Phép Thuật"	
13			25		3			13				34				//"Dây Chuyền Băng"	
13			26		3			15				40				//"Dây Chuyền Gió"	
13			27		3			31				0				//"Dây Chuyền Nước"	
13			28		3			29				0				//"Dây Chuyền Kỹ Năng"
end
