//=================================================================================================================
//					FACEBOOK: https://www.facebook.com/mukynguyen/
//					Zalo + SĐT : BQT MU KỶ NGUYÊN
//					Name : MU KỶ NGUYÊN
//=======Cung Cấp Sever Mu Online========
//-Phiên Bản
//+DLL Clasic Cutsom Có Đủ
//+5.2 FPS 120 Siêu Mượt
//======Hỗ Trợ=========
//+Config Sever Theo Ý Muốn
//+Dịch Vụ VPS Hosting Tên Miền Antihack
//=================================================================================================================
//Hệ thống Map
//Index							- Index của MAP
//NonPK							- 1: Không PK, 0 Cho PK, * mặc định theo common
//ExperienceRate				- Tỉ lệ EXP của map so với Sub (100%)
//ItemDropRate					- Tỉ lệ rơi đồ của map so với Sub (100%)
//ExcItemDropRate				- Tỉ lệ rơi đồ Excellent của map so với Sub (/1000000)
//SetItemDropRate				- Tỉ lệ rơi đồ thần của map so với Sub (/1000000)
//SocketItemDrop				- 1/0: có/không rơi đồ socket
//MoneyDropRate					- Tỉ lệ rơi Zen của map so với Sub (100%)
//HelperEnable					- 1: Được sử dụng Auto; 0: Không sử dụng Auto
//OffHelper						- 1: Được sử dụng Auto Train Offline; 0: Không sử dụng Auto Train Offline
//Store							- 1: Map được mở của hàng; 0: Không được mở của hàng
//AllowTrade					- 1: Được phép giao dịch; 0: Không giao dịch
//AccountLevel					- Cấu hình VIP mới được vào Map (Chỉnh thêm trong file /Data/Move/MoveSummon.txt)
//=================================================================================================================
//Index   NonPK   ViewRange   ExperienceRate   ItemDropRate   ExcItemDropRate   SetItemDropRate   SocketItemDrop   HelperEnable   GensBattle	CustomAttack	CustomStore 	CustomPick	   PkDropItem	   DeathGate   	Comment
0         *       12          80               10                     0              0                 0                1              0                1            	1				1			1			17				"Lorencia"
1         *       12          100              10                     0              0                 0                1              0                1            	1				1			1			17				"Dungeon"
2         *       12          120              10                     0              0                 0                1              0            	1            	1				1			1			22				"Devias"
3         *       12          90               10                     0              0                 0                1              0           	    1            	0				1			1			27				"Noria"
4         *       12          140              10                     0              0                 0                1              0            	1            	0				1			1			42				"Lost Tower"
6         *       10          100              10                     0              0                 0                1              0            	1            	0				1			1			115				"Arena"
7         *       12          160              10                     0              0                 0                1              0            	1            	0				1			1			49				"Atlans"
8         *       12          190              10                     0              0                 0                1              0            	1            	0				1			1			57				"Tarkan"
9         *       10          250              10                     0              0                 0                1              0            	1            	0				0			0			27				"Devil Square 1"
10        *       12          210              10                     0              0                 0                1              0            	1            	0				1			1			42				"Icarus"
11        *       10          110              10                     0              0                 0                1              0            	1            	0				0			0			22				"Blood Castle 1"
12        *       10          130              10                     0              0                 0                1              0            	1            	0				0			0			22				"Blood Castle 2"
13        *       10          150              10                     0              0                 0                1              0            	1            	0				0			0			22				"Blood Castle 3"
14        *       10          170              10                     0              0                 0                1              0            	1            	0				0			0			22				"Blood Castle 4"
15        *       10          190              10                     0              0                 0                1              0            	1            	0				0			0			22				"Blood Castle 5"
16        *       10          210              10                     0              0                 0                1              0            	1            	0				0			0			22				"Blood Castle 6"
17        *       10          230              10                     0              0                 0                1              0           	    1            	0				0			0			22				"Blood Castle 7"
18        *       10          110              10                     0              0                 0                0              0            	1            	0				0			0			17				"Chaos Castle 1"
19        *       10          130              10                     0              0                 0                0              0            	1            	0				0			0			17				"Chaos Castle 2"
20        *       10          150              10                     0              0                 0                0              0            	1            	0				0			0			17				"Chaos Castle 3"
21        *       10          170              10                     0              0                 0                0              0                1            	0				0			0			17				"Chaos Castle 4"
22        *       10          190              10                     0              0                 0                0              0            	1            	0				0			0			17				"Chaos Castle 5"
