//=================================================================================================================
//					FACEBOOK: https://www.facebook.com/mukynguyen/
//					Zalo + SĐT : BQT MU KỶ NGUYÊN
//					Name : MU KỶ NGUYÊN
//=======Cung Cấp Sever Mu Online========
//-Phiên Bản
//+DLL Clasic Cutsom Có Đủ
//+5.2 FPS 120 Siêu Mượt
//======Hỗ Trợ=========
//+Config Sever Theo Ý Muốn
//+Dịch Vụ VPS Hosting Tên Miền Antihack
//=================================================================================================================
//Index   Name                    	RequireMoney	MinLevel   MaxLevel		MinReset	MaxReset   AccountLevel   Gate
1   "Arena"                 		2000        	50         *       		*       	*          0              50
2   "Lorencia"              		1000        	10         *       		*       	*          0              17
48  "Arkaina"               		15000       	10         *       		*       	*          0              333
3   "Noria"                 		2000        	10         *       		*       	*          0              27
31  "Elbeland"              		2000        	10         *       		*       	*          0              267
32  "Elbeland2"             		2500        	10         *       		*       	*          0              268
43  "Elbeland3"             		3000        	10         *       		*       	*          0              269
4   "Devias"                		2000        	20         *       		*       	*          0              22
5   "Devias2"               		2500        	20         *       		*       	*          0              72
6   "Devias3"               		3000        	20         *       		*       	*          0              73
7   "Devias4"               		3500        	20         *       		*       	*          0              74
8   "Dungeon"               		3000        	30         *       		*       	*          0              2
9   "Dungeon2"              		3500        	40         *       		*       	*          0              6
10  "Dungeon3"              		4000        	50         *       		*       	*          0              10
11  "Atlans"                		4000        	70         *       		*       	*          0              49
12  "Atlans2"               		4500        	80         *       		*       	*          0              75
13  "Atlans3"               		5000        	90         *       		*       	*          0              76
14  "LostTower"             		5000        	50         *       		*       	*          0              42
15  "LostTower2"            		5500        	50         *       		*       	*          0              31
16  "LostTower3"            		6000        	50         *       		*       	*          0              33
17  "LostTower4"            		6500        	60         *       		*       	*          0              35
18  "LostTower5"            		7000        	60         *       		*       	*          0              37
19  "LostTower6"            		7500        	70         *       		*       	*          0              39
20  "LostTower7"            		8000        	70         *       		*       	*          0              41
21  "Tarkan"                		8000        	140        *       		*       	*          0              57
22  "Tarkan2"               		8500        	140        *       		*       	*          0              77
25  "Aida1"                 		8500        	150        *       		*       	*          0              119
27  "Aida2"                 		8500        	150        *       		*       	*          0              140
23  "Icarus"                		10000       	170        *       		*       	*          0              63
26  "Crywolf"               		0           	10         *       		*       	*          0              118
28  "Kanturu_ruin1"         		9000        	160        *       		*       	*          0              138
29  "Kanturu_ruin2"         		9000        	160        *       		*       	*          0              141
45  "Kanturu_ruin_island"   		15000       	160        *       		*       	*          0              334
30  "Kanturu_Remain"        		12000       	230        *       		*       	*          0              139
46  "Karutan1"              		13000       	170        *       		*       	*          0              335
47  "Karutan2"              		14000       	170        *       		*       	*          0              344
34  "Raklion"               		15000       	280        *       		*       	*          0              287
33  "Swamp_of_Calmness"     		15000       	400        *       		*       	*          0              273
42  "Vulcanus"              		15000       	30         *       		*       	*          0              294
24  "LorenDeep"             		0           	10         *       		*       	*          0              106
26  "Crywolf"               		0           	10         *       		*       	*          0              118
49  "Arena"                 		15000       	10         *       		*       	*          0              346
50  "Abyss"                 		15000       	10         *       		*       	*          0              355
51  "Dunes"                 		15000       	10         *       		*       	*          0              356
52  "Acheron"               		15000       	10         *       		*       	*          0              357
53  "Barracks"              		28000       	150        *       		*       	*          *              256
54  "Balgass"               		28000       	150        *       		*       	*          *              257
55	"DMxDM" 	          			2000			0 	      400        	* 	    	*          0              451
56	"GMxGM" 	          			2000			0 	      400        	* 	    	*          0              452
57	"BKxBK" 	          			2000			0 	      400        	* 	    	*          0              453
58	"RFxRF" 	          			2000			0 	      400        	* 	    	*          0              454
59	"LExLE" 	          			2000			0 	      400        	* 	    	*          0              455
60	"ELFxELF" 	          			2000			0 	      400        	* 	    	*          0              456
61	"SUMxSUM" 	          			2000			0 	      400        	* 	    	*          0              457

68  "Nars"                  		55000          250        1000          *           *          *              465
66  "Acheron"               		55000          250        1000          *           *          *              466
79  "Debenter"              		45000          50         1000       	*           *          *              467
end
