//|================================================================|
//| MUXTEAM.COM Chỉnh sửa Cash Shop                                 |
//| Credit: MUXTEAM.COM/MU Online                          [MUXTEAM.COM] |
//|================================================================|
//Cat	ID	Main	Item	Coin	Price	Bonus	PBase1	PBase2	PBase3	PBase4	PBase5	PBase6	PBase7	PBase8	PBase9	PBase10	PMain1	PMain2	PMain3	PMain4	PMain5	PMain6	PMain7	PMain8	PMain9	PMain10	Comment
31	100	100	1	508	10000	0	1000	0	0	0	0	0	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	// Bùa Tăng Tỉ Lệ 5%
31	101	101	1	508	20000	0	1010	0	0	0	0	0	0	0	0	0	1010	0	0	0	0	0	0	0	0	0	// Bùa Kết Hợp Chaos
31	122	122	1	508	50000	0	1220	0	0	0	0	0	0	0	0	0	1220	0	0	0	0	0	0	0	0	0	// Mở Rộng Thùng Đồ
31	125	125	1	508	100000	0	1250	0	0	0	0	0	0	0	0	0	1250	0	0	0	0	0	0	0	0	0	// Mở Rộng Thùng Đồ Chung
32	103	103	1	508	10000	0	1030	0	0	0	0	0	0	0	0	0	1030	0	0	0	0	0	0	0	0	0	// BùaThiên Sứ
32	106	106	1	508	5000	0	1060	0	0	0	0	0	0	0	0	0	1060	0	0	0	0	0	0	0	0	0	// Bùa Kinh Nghiệm
32	109	109	1	508	10000	0	1090	0	0	0	0	0	0	0	0	0	1090	0	0	0	0	0	0	0	0	0	// Bùa Master
32	110	110	1	508	15000	0	1100	0	0	0	0	0	0	0	0	0	1100	0	0	0	0	0	0	0	0	0	// Bùa Siêu Master
32	113	113	1	508	20000	0	1130	0	0	0	0	0	0	0	0	0	1130	0	0	0	0	0	0	0	0	0	// Tăng Tối Đa AG
32	115	115	1	508	20000	0	1150	0	0	0	0	0	0	0	0	0	1150	0	0	0	0	0	0	0	0	0	// Tăng Tối Đa SD
33	116	116	1	508	5000	0	1160	0	0	0	0	0	0	0	0	0	1160	0	0	0	0	0	0	0	0	0	// Bùa Tốc Độ
33	117	117	1	508	5000	0	1170	0	0	0	0	0	0	0	0	0	1170	0	0	0	0	0	0	0	0	0	// Bùa Phòng Thủ
33	118	118	1	508	5000	0	1180	0	0	0	0	0	0	0	0	0	1180	0	0	0	0	0	0	0	0	0	// Bùa Tăng Sát Thương
33	119	119	1	508	5000	0	1190	0	0	0	0	0	0	0	0	0	1190	0	0	0	0	0	0	0	0	0	// Bùa Tăng HP
33	120	120	1	508	5000	0	1200	0	0	0	0	0	0	0	0	0	1200	0	0	0	0	0	0	0	0	0	// Bùa Tăng Ma Thuật
33	121	121	1	508	5000	0	1210	0	0	0	0	0	0	0	0	0	1210	0	0	0	0	0	0	0	0	0	// Bùa Tăng Mana
33	123	123	1	508	20000	0	1230	0	0	0	0	0	0	0	0	0	1230	0	0	0	0	0	0	0	0	0	// Bùa Tăng Chí Mạng
33	124	124	1	508	20000	0	1240	0	0	0	0	0	0	0	0	0	1240	0	0	0	0	0	0	0	0	0	// Bùa Tăng Hoàn Hảo
35	102	102	1	508	30000	0	1020	0	0	0	0	0	0	0	0	0	1020	0	0	0	0	0	0	0	0	0	// Đại Quỷ
35	107	107	1	508	30000	0	1070	0	0	0	0	0	0	0	0	0	1070	0	0	0	0	0	0	0	0	0	// Gấu Trúc
35	108	108	1	508	20000	0	1080	0	0	0	0	0	0	0	0	0	1080	0	0	0	0	0	0	0	0	0	// Nhẫn Biến Gấu Trúc
35	111	111	1	508	20000	0	1110	0	0	0	0	0	0	0	0	0	1110	0	0	0	0	0	0	0	0	0	// Rồng Xương
35	112	112	1	508	20000	0	1120	0	0	0	0	0	0	0	0	0	1120	0	0	0	0	0	0	0	0	0	// Nhẫn Biến Người Xương
35	135	135	1	508	30000	0	1350	0	0	0	0	0	0	0	0	0	1350	0	0	0	0	0	0	0	0	0	// Thần Mã
37	104	104	1	508	2000	0	1040	0	0	0	0	0	0	0	0	0	1040	0	0	0	0	0	0	0	0	0	// Vé Kalima
37	105	105	1	508	2000	0	1050	0	0	0	0	0	0	0	0	0	1050	0	0	0	0	0	0	0	0	0	// Vé Huyết Lâu
37	114	114	1	508	2000	0	1140	0	0	0	0	0	0	0	0	0	1140	0	0	0	0	0	0	0	0	0	// Vé Quảng Trường Quỷ
41	200	200	1	509	10000	0	1000	0	0	0	0	0	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	// Bùa Tăng Tỉ Lệ 5% (WCoinP)
41	201	201	1	509	20000	0	1010	0	0	0	0	0	0	0	0	0	1010	0	0	0	0	0	0	0	0	0	// Bùa Kết Hợp Chaos (WCoinP)
41	222	222	1	509	50000	0	1220	0	0	0	0	0	0	0	0	0	1220	0	0	0	0	0	0	0	0	0	// Mở Rộng Thùng Đồ (WCoinP)
41	225	225	1	509	100000	0	1250	0	0	0	0	0	0	0	0	0	1250	0	0	0	0	0	0	0	0	0	// Mở Rộng Thùng Đồ Chung (WCoinP)
42	203	203	1	509	10000	0	1030	0	0	0	0	0	0	0	0	0	1030	0	0	0	0	0	0	0	0	0	// BùaThiên Sứ (WCoinP)
42	206	206	1	509	5000	0	1060	0	0	0	0	0	0	0	0	0	1060	0	0	0	0	0	0	0	0	0	// Bùa Kinh Nghiệm (WCoinP)
42	209	209	1	509	10000	0	1090	0	0	0	0	0	0	0	0	0	1090	0	0	0	0	0	0	0	0	0	// Bùa Master (WCoinP)
42	210	210	1	509	15000	0	1100	0	0	0	0	0	0	0	0	0	1100	0	0	0	0	0	0	0	0	0	// Bùa Siêu Master (WCoinP)
42	213	213	1	509	20000	0	1130	0	0	0	0	0	0	0	0	0	1130	0	0	0	0	0	0	0	0	0	// Tăng Tối Đa AG (WCoinP)
42	215	215	1	509	20000	0	1150	0	0	0	0	0	0	0	0	0	1150	0	0	0	0	0	0	0	0	0	// Tăng Tối Đa SD (WCoinP)
43	216	216	1	509	5000	0	1160	0	0	0	0	0	0	0	0	0	1160	0	0	0	0	0	0	0	0	0	// Bùa Tốc Độ (WCoinP)
43	217	217	1	509	5000	0	1170	0	0	0	0	0	0	0	0	0	1170	0	0	0	0	0	0	0	0	0	// Bùa Phòng Thủ (WCoinP)
43	218	218	1	509	5000	0	1180	0	0	0	0	0	0	0	0	0	1180	0	0	0	0	0	0	0	0	0	// Bùa Tăng Sát Thương (WCoinP)
43	219	219	1	509	5000	0	1190	0	0	0	0	0	0	0	0	0	1190	0	0	0	0	0	0	0	0	0	// Bùa Tăng HP (WCoinP)
43	220	220	1	509	5000	0	1200	0	0	0	0	0	0	0	0	0	1200	0	0	0	0	0	0	0	0	0	// Bùa Tăng Ma Thuật (WCoinP)
43	221	221	1	509	5000	0	1210	0	0	0	0	0	0	0	0	0	1210	0	0	0	0	0	0	0	0	0	// Bùa Tăng Mana (WCoinP)
43	223	223	1	509	20000	0	1230	0	0	0	0	0	0	0	0	0	1230	0	0	0	0	0	0	0	0	0	// Bùa Tăng Chí Mạng (WCoinP)
43	224	224	1	509	20000	0	1240	0	0	0	0	0	0	0	0	0	1240	0	0	0	0	0	0	0	0	0	// Bùa Tăng Hoàn Hảo (WCoinP)
45	202	202	1	509	30000	0	1020	0	0	0	0	0	0	0	0	0	1020	0	0	0	0	0	0	0	0	0	// Đại Quỷ (WCoinP)
45	207	207	1	509	30000	0	1070	0	0	0	0	0	0	0	0	0	1070	0	0	0	0	0	0	0	0	0	// Gấu Trúc (WCoinP)
45	208	208	1	509	20000	0	1080	0	0	0	0	0	0	0	0	0	1080	0	0	0	0	0	0	0	0	0	// Nhẫn Biến Gấu Trúc (WCoinP)
45	211	211	1	509	20000	0	1110	0	0	0	0	0	0	0	0	0	1110	0	0	0	0	0	0	0	0	0	// Rồng Xương (WCoinP)
45	212	212	1	509	20000	0	1120	0	0	0	0	0	0	0	0	0	1120	0	0	0	0	0	0	0	0	0	// Nhẫn Biến Người Xương (WCoinP)
45	235	235	1	509	30000	0	1350	0	0	0	0	0	0	0	0	0	1350	0	0	0	0	0	0	0	0	0	// Thần Mã (WCoinP)
47	204	204	1	509	2000	0	1040	0	0	0	0	0	0	0	0	0	1040	0	0	0	0	0	0	0	0	0	// Vé Kalima (WCoinP)
47	205	205	1	509	2000	0	1050	0	0	0	0	0	0	0	0	0	1050	0	0	0	0	0	0	0	0	0	// Vé Huyết Lâu (WCoinP)
47	214	214	1	509	2000	0	1140	0	0	0	0	0	0	0	0	0	1140	0	0	0	0	0	0	0	0	0	// Vé Quảng Trường Quỷ (WCoinP)
end
