//=================================================================================================================
//					FACEBOOK: https://www.facebook.com/mukynguyen/
//					Zalo + SĐT : BQT MU KỶ NGUYÊN
//					Name : MU KỶ NGUYÊN
//=======Cung Cấp Sever Mu Online========
//-Phiên Bản
//+DLL Clasic Cutsom Có Đủ
//+5.2 FPS 120 Siêu Mượt
//======Hỗ Trợ=========
//+Config Sever Theo Ý Muốn
//+Dịch Vụ VPS Hosting Tên Miền Antihack
//=================================================================================================================
0
//Index   Year   Month   Day   DoW   Hour   Minute   Second
//================================================================>
// Quyền Ma Vương
0         *      *       *     *     0       00       0
0         *      *       *     *     2       00       0
0         *      *       *     *     4       00       0
0         *      *       *     *     6       00       0
0         *      *       *     *     8       00       0
0         *      *       *     *    10       00       0
//================================================================>
// Long Vương Quỷ
1         *      *       *     *     0       00       0
1         *      *       *     *     2       00       0
1         *      *       *     *     4       00       0
1         *      *       *     *     6       00       0
1         *      *       *     *     8       00       0
1         *      *       *     *    10       00       0
//================================================================>
// Huyết Vương Quỷ
2         *      *       *     *    12       00       0
2         *      *       *     *    14       00       0
2         *      *       *     *    16       00       0
2         *      *       *     *    18       00       0
2         *      *       *     *    20       00       0
2         *      *       *     *    22       00       0
//================================================================>
// Phantom
3         *      *       *     *    12       00       0
3         *      *       *     *    14       00       0
3         *      *       *     *    16       00       0
3         *      *       *     *    18       00       0
3         *      *       *     *    20       00       0
3         *      *       *     *    22       00       0
//================================================================>
// Anubis
4        *      *       *     *      01      00      0
4        *      *       *     *      03      00      0
4        *      *       *     *      05      00      0
4        *      *       *     *      07      00      0
4        *      *       *     *      09      00      0
//================================================================>
//Thủy Hoàng Đế
5        *      *       *     *      01      00      0
5        *      *       *     *      03      00      0
5        *      *       *     *      05      00      0
5        *      *       *     *      07      00      0
5        *      *       *     *      09      00      0
//================================================================>
// Ngưu Vương
6        *      *       *     *      11      00      0
6        *      *       *     *      13      00      0
6        *      *       *     *      15      00      0
6        *      *       *     *      17      00      0
6        *      *       *     *      19      00      0
6        *      *       *     *      21      00      0
//================================================================>
// Hầu Vương                                                               	
7        *      *       *     *      11      00      0
7        *      *       *     *      13      00      0
7        *      *       *     *      15      00      0
7        *      *       *     *      17      00      0
7        *      *       *     *      19      00      0
7        *      *       *     *      21      00      0                   		
//================================================================>
// Ma Thú Địa Ngục
8         *      *       *     *     0       30       0
8         *      *       *     *     2       30       0
8         *      *       *     *     4       30       0
8         *      *       *     *     6       30       0
8         *      *       *     *     8       30       0
8         *      *       *     *    10       30       0
8         *      *       *     *    12       30       0
8         *      *       *     *    14       30       0
8         *      *       *     *    16       30       0
8         *      *       *     *    18       30       0
8         *      *       *     *    20       30       0
8         *      *       *     *    22       30       0
//================================================================>
// Viêm Địa Chúa
9         *      *       *     *     0       30       0
9         *      *       *     *     2       30       0
9         *      *       *     *     4       30       0
9         *      *       *     *     6       30       0
9         *      *       *     *     8       30       0
9         *      *       *     *    10       30       0
9         *      *       *     *    12       30       0
9         *      *       *     *    14       30       0
9         *      *       *     *    16       30       0
9         *      *       *     *    18       30       0
9         *      *       *     *    20       30       0
9         *      *       *     *    22       30       0
//================================================================>
//  Tà Thần Tướng
10        *      *       *     *      01      30      0
10        *      *       *     *      03      30      0
10        *      *       *     *      05      30      0
10        *      *       *     *      07      30      0
10        *      *       *     *      09      30      0
10        *      *       *     *      11      30      0
10        *      *       *     *      13      30      0
10        *      *       *     *      15      30      0
10        *      *       *     *      17      30      0
10        *      *       *     *      19      30      0
10        *      *       *     *      21      30      0  
//================================================================>
//  Ma Thần Tướng
11        *      *       *     *      01      30      0
11        *      *       *     *      03      30      0
11        *      *       *     *      05      30      0
11        *      *       *     *      07      30      0
11        *      *       *     *      09      30      0
11        *      *       *     *      11      30      0
11        *      *       *     *      13      30      0
11        *      *       *     *      15      30      0
11        *      *       *     *      17      30      0
11        *      *       *     *      19      30      0
11        *      *       *     *      21      30      0  
//================================================================>
// Chiến Thần
12        *      *       *     *     13      00      0
12        *      *       *     *     15      00      0
12        *      *       *     *     19      00      0
