//===============================Cung Cấp Sever Mu online Liên Hệ Ngay=============================================
//=========================Zalo + SĐT : 0968092399=================================================================
//=========================FB : https://www.facebook.com/mukynguyen/ ============================================
//=======================File Config Thời Gian Drop và Tỉ lệ Drop Item=============================================
//============================================================================
0
//EventName				DropZen		ItemDropRate	ItemDropCount	SetItemDropRate		ItemDropType	Fireworks	
"Box of Kundun 2"		50000		    60 				1				0					1				0
end

1
//================================================Ring Pen=======================================================
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent   SetOption	    Tỉ Lệ	NameItem
//12			15		0		   0		  0		  0		 0		  0			    0		 100	  //Ngọc Hỗn Nguyên
//14			13		0		   0		  0		  0		 0		  0			    0		 100	  //Ngọc Ước Nguyện
//14			14		0		   0		  0		  0		 0		  0			    0		 100  	  //Ngọc Tâm Linh
//14			16		0		   0		  0		  0		 0		  0			    0		 100	  //Ngọc Sinh Mệnh
//14			22		0		   0		  0		  0		 0		  0			    0		 100	  //Ngọc Sáng Tạo
//==================================================Vũ Khí Cấp 2==========================================================
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent   SetOption	    Tỉ Lệ	NameItem
0           5        0          3          1       1      1        1            0        100      //[Cấp2]Khoái Đao
0           9        0          3          1       1      1        1            0        100      //[Cấp2]Kiếm Rồng Lửa
0           13       0          3          1       1      1        1            0        100      //[Cấp2]Hỏa Đao
1           5        0          3          1       1      1        1            0        100      //[Cấp2]Rìu Chiến
1           6        0          3          1       1      1        1            0        100      //[Cấp2]Rìu Lưỡi Bạc
2           1        0          3          1       1      1        1            0        100      //[Cấp2]Chùy Gai
2           8        0          3          1       1      1        1            0        100      //[Cấp2]Trượng Chiến
3           5        0          3          1       1      1        1            0        100      //[Cấp2]Giáo Hai Lưỡi
3           7        0          3          1       1      1        1            0        100      //[Cấp2]Kích Hai Đầu
4           5        0          3          1       1      1        1            0        100      //[Cấp2]Cung Bạc
4           13       0          3          1       1      1        1            0        100      //[Cấp2]Nỏ Thiên Thanh
5           3        0          3          0       1      1        1            0        100      //[Cấp2]Gậy Sét	
5           4        0          3          0       1      1        1            0        100      //[Cấp2]Gậy Đầu Lâu
6           3        0          3          0       1      1        1            0        100      //[Cấp2]Khiên Tiên Nữ
6           4        0          3          1       1      1        1            0        100      //[Cấp2]Khiên Sắt	
6           6        0          3          1       1      1        1            0        100      //[Cấp2]Khiên Xương
6           9        0          3          1       1      1        1            0        100      //[Cấp2]Khiên Gia Huy
