//=================================================================================================================
//					FACEBOOK: https://www.facebook.com/mukynguyen/
//					Zalo + SĐT : BQT MU KỶ NGUYÊN
//					Name : MU KỶ NGUYÊN
//=======Cung Cấp Sever Mu Online========
//-Phiên Bản
//+DLL Clasic Cutsom Có Đủ
//+5.2 FPS 120 Siêu Mượt
//======Hỗ Trợ=========
//+Config Sever Theo Ý Muốn
//+Dịch Vụ VPS Hosting Tên Miền Antihack
//=================================================================================================================
//Section   Type   MaxSocket
0           26     5
0           27     5
0           28     5
0           81     5

2           16     5
2           17     5

4           23     5
4           104    5

5           30     5
5           31     5
5           32     5

6           17     5
6           18     5
6           19     5
6           20     5

7           44     5
7           45     5
7           46     5
7           47     5
7           48     5
7           49     5
7           50     5
7           51     5
7           52     5
7           53     5
7           77     5

8           44     5
8           45     5
8           46     5
8           47     5
8           48     5
8           49     5
8           50     5
8           51     5
8           52     5
8           53     5
8           77     5

9           44     5
9           45     5
9           46     5
9           47     5
9           48     5
9           49     5
9           50     5
9           51     5
9           52     5
9           53     5
9           77     5

10          44     5
10          45     5
10          46     5
10          47     5
10          48     5
10          49     5
10          50     5
10          51     5
10          52     5
10          53     5
10          77     5

11          44     5
11          45     5
11          46     5
11          47     5
11          48     5
11          49     5
11          50     5
11          51     5
11          52     5
11          53     5
11          77     5

end
