//=================================================================================================================
//					FACEBOOK: https://www.facebook.com/mukynguyen/
//					Zalo + SĐT : BQT MU KỶ NGUYÊN
//					Name : MU KỶ NGUYÊN
//=======Cung Cấp Sever Mu Online========
//-Phiên Bản
//+DLL Clasic Cutsom Có Đủ
//+5.2 FPS 120 Siêu Mượt
//======Hỗ Trợ=========
//+Config Sever Theo Ý Muốn
//+Dịch Vụ VPS Hosting Tên Miền Antihack
//=================================================================================================================
//Number   Type   Index   Quantity   Level   Option1   Option2   Option3   NewOption   RequireIndex   RequireState   DW      DK      FE      MG      DL      SU      RF
0          1      200     10         0       0         0         0         0           0              1              1       1       1       0       0       1       0
0          1      200     10         0       0         0         0         0           1              1              1       1       1       0       0       1       0
1          2      201     0          0       0         0         0         0           1              1              1       1       1       0       0       1       0
0          4      202     0          0       0         0         0         0           2              1              2       2       2       0       0       2       0
0          8      203     0          0       0         0         0         0           3              1              0       2       0       0       0       0       0
0          1      200     20         0       0         0         0         0           4              1              2       2       2       1       1       2       1
0          1      200     20         0       0         0         0         0           5              1              2       2       2       1       1       2       1
0          1      200     30         0       0         0         0         0           6              1              2       2       2       1       1       2       1
1          16     204     0          0       0         0         0         0           6              1              2       2       2       1       1       2       1
end
