//=================================================================================================================
//					FACEBOOK: https://www.facebook.com/mukynguyen/
//					Zalo + SĐT : BQT MU KỶ NGUYÊN
//					Name : MU KỶ NGUYÊN
//=======Cung Cấp Sever Mu Online========
//-Phiên Bản
//+DLL Clasic Cutsom Có Đủ
//+5.2 FPS 120 Siêu Mượt
//======Hỗ Trợ=========
//+Config Sever Theo Ý Muốn
//+Dịch Vụ VPS Hosting Tên Miền Antihack
//=================================================================================================================
//Group	Index	Level	Dur		Skill	Luck	Option	ExcOpt	Anc		JoH		Oex		Socket1	Socket2	Socket3	Socket4	Socket5	ItemName
7 	         6  	0	   0 	   0 	  1 	0  	      0  	0	0	0	255	255	255	255	255		//Trâu xanh
7 	         0   	0	   0 	   0 	  1 	0  	      0  	0	0	0	255	255	255	255	255		//thiết ma
7 	         26 	0	   0 	   0 	  1 	0  	      0  	0	0	0	255	255	255	255	255		//huyền thiết
7 	         25 	0 	   0 	   0 	  1 	0  	      0  	0	0	0	255	255	255	255	255		//hắc vương
8 	         6  	0	   0 	   0 	  1 	0  	      0  	0	0	0	255	255	255	255	255		//Trâu xanh
8 	         0  	0	   0 	   0 	  1 	0  	      0  	0	0	0	255	255	255	255	255		//thiết ma
8 	         26 	0	   0 	   0 	  1 	0  	      0  	0	0	0	255	255	255	255	255		//huyền thiết
8 	         25 	0 	   0 	   0 	  1 	0  	      0  	0	0	0	255	255	255	255	255		//hắc vương
9 	         6  	0	   0 	   0 	  1 	0  	      0  	0	0	0	255	255	255	255	255		//Trâu xanh
9 	         0  	0	   0 	   0 	  1 	0  	      0  	0	0	0	255	255	255	255	255		//thiết ma
9 	         26 	0	   0 	   0 	  1 	0  	      0  	0	0	0	255	255	255	255	255		//huyền thiết
9 	         25 	0 	   0 	   0 	  1 	0  	      0  	0	0	0	255	255	255	255	255		//hắc vương
10 	         6  	0	   0 	   0 	  1 	0  	      0  	0	0	0	255	255	255	255	255		//Trâu xanh
10 	         0  	0	   0 	   0 	  1 	0  	      0  	0	0	0	255	255	255	255	255		//thiết ma
10 	         26 	0	   0 	   0 	  1 	0  	      0  	0	0	0	255	255	255	255	255		//huyền thiết
10 	         25 	0 	   0 	   0 	  1 	0  	      0  	0	0	0	255	255	255	255	255		//hắc vương
11 	         6  	0	   0 	   0 	  1 	0  	      0  	0	0	0	255	255	255	255	255		//Trâu xanh
11 	         0  	0	   0 	   0 	  1 	0  	      0  	0	0	0	255	255	255	255	255		//thiết ma
11 	         26 	0	   0 	   0 	  1 	0  	      0  	0	0	0	255	255	255	255	255		//huyền thiết
11 	         25 	0 	   0 	   0 	  1 	0  	      0  	0	0	0	255	255	255	255	255		//hắc vương
2 	         10 	0	   0 	   1 	  1 	0         0  	0	0	0	255	255	255	255	255		//Trượng Bóng Tối"
6 	         11 	0 	   0 	   1 	  1 	0         0  	0	0	0	255	255	255	255	255		//Khiên Xà
12 	         21 	0 	   0 	   0 	  1 	0 	      0  	0	0	0	255	255	255	255	255	 	//skill dl
12 	         22 	0 	   0 	   0 	  1 	0 	      0  	0	0	0	255	255	255	255	255	 	//skill dl
12 	         23 	0 	   0 	   0 	  1 	0 	      0  	0	0	0	255	255	255	255	255	 	//skill dl
12 	         24 	0 	   0 	   0 	  1 	0 	      0  	0	0	0	255	255	255	255	255	 	//skill dl
12 	         35 	0 	   0 	   0 	  1 	0  	      0 	0	0	0	255	255	255	255	255		//skill dl
12 	         48 	0 	   0 	   0 	  1 	0 	      0  	0	0	0	255	255	255	255	255	 	//skill dl
14		     3		0	  255	   0	  0		0		  0		0	0	0	255	255	255	255	255		//Bình Máu To
14		     6		0	  255	   0	  0		0		  0		0	0	0	255	255	255	255	255		//Bình Phép To

end
