//===============================Cung Cấp Sever Mu online Liên Hệ Ngay=============================================
//=========================Zalo + SĐT : 0968092399=================================================================
//=========================FB : https://www.facebook.com/mukynguyen/ ============================================
//=======================File Config Thời Gian Drop và Tỉ lệ Drop Item=============================================
//============================================================================
0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	
"Box of Kundun 3"	     50000	       60		       1		        0		         1		       0
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent   SetOption	    Tỉ Lệ	NameItem
//12		15		0		   0		  0		  0		 0		  0			    0		 100	  //Ngọc Hỗn Nguyên
//14		13		0		   0		  0		  0		 0		  0			    0		 100      //Ngọc Ước Nguyện
//14		14		0		   0		  0		  0		 0		  0			    0		 100  	  //Ngọc Tâm Linh
//14		16		0		   0		  0		  0		 0		  0			    0		 100	  //Ngọc Sinh Mệnh
//14		22		0		   0		  0		  0		 0		  0			    0		 100	  //Ngọc Sáng Tạo
//===================================================================Vũ Khí Cấp 3==================================
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent   SetOption	    Tỉ Lệ	NameItem
0           10       0          3          1       1      1        1            0        100       //[Cấp3]Kiếm Ánh Sáng	
0           11       0          3          1       1      1        1            0        100       //[Cấp3]Kiếm Ma Thuật	
0           12       0          3          1       1      1        1            0        100       //[Cấp3]Thái Dương Kiếm
0           14       0          3          1       1      1        1            0        100       //[Cấp3]Kiếm Điện
0           15       0          3          1       1      1        1            0        100       //[Cấp3]Thiết Kiếm
1           7        0          3          0       1      1        1            0        100       //[Cấp3]Rìu Lưỡi Vàng
1           8        0          3          0       1      1        1            0        100       //[Cấp3]Rìu Bán Nguyệt
2           2        0          3          0       1      1        1            0        100       //[Cấp3]Chùy Dây
2           4        0          3          0       1      1        1            0        100       //[Cấp3]Chùy Băng
2           9        0          3          0       1      1        1            0        100       //[Cấp3]Trượng Thép
3           8        0          3          0       1      1        1            0        100       //[Cấp3]Lưỡi Hái
4           6        0          3          0       1      1        1            0        100       //[Cấp3]Mai Hoa Cung
4           14       0          3          0       1      1        1            0        100       //[Cấp3]Nỏ Kim Ngân
5           5        0          3          0       1      1        1            0        100       //[Cấp3]Gậy Ma Thuật
5           6        0          3          0       1      1        1            0        100       //[Cấp3]Gậy Phục Sinh
5           7        0          3          0       1      1        1            0        100       //[Cấp3]Gậy Lôi Phong
5           14       0          3          0       1      1        1            0        100       //[Cấp3]Gậy Phép Thuật
6           5        0          3          0       1      1        1            0        100       //[Cấp3]Khiên Kim Long
6           7        0          3          0       1      1        1            0        100       //[Cấp3]Khiên Chuông
6           11       0          3          0       1      1        1            0        100       //[Cấp3]Khiên Xà
//============================================Đồ Cấp 3=========================================================
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent   SetOption	    Tỉ Lệ	NameItem
7			7		 0          3          0       1      1        1            0        100 	  //[Cấp3]Sét Nhân Sư
8			7		 0          3          0       1      1        1            0        100 	  //[Cấp3]Sét Nhân Sư
9			7		 0          3          0       1      1        1            0        100 	  //[Cấp3]Sét Nhân Sư
10			7		 0          3          0       1      1        1            0        100 	  //[Cấp3]Sét Nhân Sư
11			7		 0          3          0       1      1        1            0        100 	  //[Cấp3]Sét Nhân Sư
7			9		 0          3          0       1      1        1            0        100 	  //[Cấp3]Sét Thiết Phiến
8			9		 0          3          0       1      1        1            0        100 	  //[Cấp3]Sét Thiết Phiến
9			9		 0          3          0       1      1        1            0        100 	  //[Cấp3]Sét Thiết Phiến
10			9		 0          3          0       1      1        1            0        100 	  //[Cấp3]Sét Thiết Phiến
11			9		 0          3          0       1      1        1            0        100 	  //[Cấp3]Sét Thiết Phiến
7			13		 0          3          0       1      1        1            0        100 	  //[Cấp3]Sét Ngọc Bích
8			13		 0          3          0       1      1        1            0        100 	  //[Cấp3]Sét Ngọc Bích
9			13		 0          3          0       1      1        1            0        100 	  //[Cấp3]Sét Ngọc Bích
10			13		 0          3          0       1      1        1            0        100 	  //[Cấp3]Sét Ngọc Bích
11			13		 0          3          0       1      1        1            0        100 	  //[Cấp3]Sét Ngọc Bích
7			25		 0          3          0       1      1        1            0        100 	  //[Cấp3]Sét Thiết Ma
8			25		 0          3          0       1      1        1            0        100 	  //[Cấp3]Sét Thiết Ma
9			25		 0          3          0       1      1        1            0        100 	  //[Cấp3]Sét Thiết Ma
10			25		 0          3          0       1      1        1            0        100 	  //[Cấp3]Sét Thiết Ma
11			25		 0          3          0       1      1        1            0        100 	  //[Cấp3]Sét Thiết Ma
//===========================================Item Thường Không Có Excellent==========================================
//===============================================Vũ Khí Cấp 3======================================================
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent   SetOption	    Tỉ Lệ	NameItem
0           10       0          3          1       1      1        0            0        100       //[Cấp3]Kiếm Ánh Sáng	
0           11       0          3          1       1      1        0            0        100       //[Cấp3]Kiếm Ma Thuật	
0           12       0          3          1       1      1        0            0        100       //[Cấp3]Thái Dương Kiếm
0           14       0          3          1       1      1        0            0        100       //[Cấp3]Kiếm Điện
0           15       0          3          1       1      1        0            0        100       //[Cấp3]Thiết Kiếm
1           7        0          3          0       1      1        0            0        100       //[Cấp3]Rìu Lưỡi Vàng
1           8        0          3          0       1      1        0            0        100       //[Cấp3]Rìu Bán Nguyệt
2           2        0          3          0       1      1        0            0        100       //[Cấp3]Chùy Dây
2           4        0          3          0       1      1        0            0        100       //[Cấp3]Chùy Băng
2           9        0          3          0       1      1        0            0        100       //[Cấp3]Trượng Thép
3           8        0          3          0       1      1        0            0        100       //[Cấp3]Lưỡi Hái
4           6        0          3          0       1      1        0            0        100       //[Cấp3]Mai Hoa Cung
4           14       0          3          0       1      1        0            0        100       //[Cấp3]Nỏ Kim Ngân
5           5        0          3          0       1      1        0            0        100       //[Cấp3]Gậy Ma Thuật
5           6        0          3          0       1      1        0            0        100       //[Cấp3]Gậy Phục Sinh
5           7        0          3          0       1      1        0            0        100       //[Cấp3]Gậy Lôi Phong
5           14       0          3          0       1      1        0            0        100       //[Cấp3]Gậy Phép Thuật
6           5        0          3          0       1      1        0            0        100       //[Cấp3]Khiên Kim Long
6           7        0          3          0       1      1        0            0        100       //[Cấp3]Khiên Chuông
6           11       0          3          0       1      1        0            0        100       //[Cấp3]Khiên Xà
//============================================Đồ Cấp 3=========================================================
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent   SetOption	    Tỉ Lệ	NameItem
7			7		 0          3          0       1      1        0            0        100 	  //[Cấp3]Sét Nhân Sư
8			7		 0          3          0       1      1        0            0        100 	  //[Cấp3]Sét Nhân Sư
9			7		 0          3          0       1      1        0            0        100 	  //[Cấp3]Sét Nhân Sư
10			7		 0          3          0       1      1        0            0        100 	  //[Cấp3]Sét Nhân Sư
11			7		 0          3          0       1      1        0            0        100 	  //[Cấp3]Sét Nhân Sư
7			9		 0          3          0       1      1        0            0        100 	  //[Cấp3]Sét Thiết Phiến
8			9		 0          3          0       1      1        0            0        100 	  //[Cấp3]Sét Thiết Phiến
9			9		 0          3          0       1      1        0            0        100 	  //[Cấp3]Sét Thiết Phiến
10			9		 0          3          0       1      1        0            0        100 	  //[Cấp3]Sét Thiết Phiến
11			9		 0          3          0       1      1        0            0        100 	  //[Cấp3]Sét Thiết Phiến
7			13		 0          3          0       1      1        0            0        100 	  //[Cấp3]Sét Ngọc Bích
8			13		 0          3          0       1      1        0            0        100 	  //[Cấp3]Sét Ngọc Bích
9			13		 0          3          0       1      1        0            0        100 	  //[Cấp3]Sét Ngọc Bích
10			13		 0          3          0       1      1        0            0        100 	  //[Cấp3]Sét Ngọc Bích
11			13		 0          3          0       1      1        0            0        100 	  //[Cấp3]Sét Ngọc Bích
7			25		 0          3          0       1      1        0            0        100 	  //[Cấp3]Sét Thiết Ma
8			25		 0          3          0       1      1        0            0        100 	  //[Cấp3]Sét Thiết Ma
9			25		 0          3          0       1      1        0            0        100 	  //[Cấp3]Sét Thiết Ma
10			25		 0          3          0       1      1        0            0        100 	  //[Cấp3]Sét Thiết Ma
11			25		 0          3          0       1      1        0            0        100 	  //[Cấp3]Sét Thiết Ma
end
