0
//=================================================================================================================
//					FACEBOOK: https://www.facebook.com/mukynguyen/
//					Zalo : BQT MU KỶ NGUYÊN
//					Name : MU KỶ NGUYÊN
//=====================File config Drop Item Sever===================
//=====================Không Biết Config Liên Hệ Người Bán sever Để Được Hỗ Trợ Nhé !
//=================================================================================================================0
//EventName				DropZen		ItemDropRate	ItemDropCount	SetItemDropRate		ItemDropType	Fireworks
"Lucky Coin 1"		1000		100				1				0					0				0
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent   SetOption	    Tỉ Lệ	NameItem
12			30		0			0			0		0		0		0			0			100		//Cụm Ngọc Ước Nguyện
12			31		0			0			0		0		0		0			0			100		//Cụm Ngọc Tâm Linh
12			136		0			0			0		0		0		0			0			100		//Cụm Ngọc Sinh Mệnh
12			137		0			0			0		0		0		0			0			100		//Cụm Ngọc Sáng Tạo
12			141		0			0			0		0		0		0			0			100		//Cụm Ngọc Hỗn Nguyên


//12			124			0			0			0		0		0		0			0			100		//Nguyên Tố Lửa
//12			124			1			0			0		0		0		0			0			100		//Nguyên Tố Lửa
//12			124			2			0			0		0		0		0			0			100		//Nguyên Tố Lửa
//12			124			3			0			0		0		0		0			0			100		//Nguyên Tố Lửa
//12			124			4			0			0		0		0		0			0			100		//Nguyên Tố Lửa	
//12			125			0			0			0		0		0		0			0			100		//Nguyên Tố Nước
//12			125			2			0			0		0		0		0			0			100		//Nguyên Tố Nước
//12			125			3			0			0		0		0		0			0			100		//Nguyên Tố Nước
//12			125			4			0			0		0		0		0			0			100		//Nguyên Tố Nước	
//12			126			2			0			0		0		0		0			0			100		//Nguyên Tố Băng
//12			126			3			0			0		0		0		0			0			100		//Nguyên Tố Băng	
//12			127			1			0			0		0		0		0			0			100		//Nguyên Tố Gió	
//12			128			0			0			0		0		0		0			0			100		//Nguyên Tố Sét
//12			128			1			0			0		0		0		0			0			100		//Nguyên Tố Sét
//12			128			2			0			0		0		0		0			0			100		//Nguyên Tố Sét
//12			128			3			0			0		0		0		0			0			100		//Nguyên Tố Sét
//12			129			2			0			0		0		0		0			0			100		//Nguyên Tố Đất	



end
