//=================================================================================================================
//					FACEBOOK: https://www.facebook.com/mukynguyen/
//					Zalo : BQT MU KỶ NGUYÊN
//					Name : MU KỶ NGUYÊN
//=====================File config Drop Item Sever===================
//=====================Không Biết Config Liên Hệ Người Bán sever Để Được Hỗ Trợ Nhé !
//=================================================================================================================
0
//EventName				DropZen		ItemDropRate	ItemDropCount	SetItemDropRate		ItemDropType	Fireworks
"Selupan"				1000000			0				1				0					0				0
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent   SetOption	    Tỉ Lệ	NameItem
0           26         0          4          1       1      1           0           0        100      //[Cấp9] Hỏa Long Kiếm	
0           27         0          4          1       1      1           0           0        100      //[Cấp9] Ngọc Bích Kiếm
0           28         0          4          1       1      1           0           0        100      //[Cấp9] Bá Vương Kiếm
0           81         0          4          1       1      1           0           0        100      //[Cấp9] Vuốt Huyết Long
2           17         0          4          1       1      1           0           0        100      //[Cấp9] Lôi Phong Trượng
4           23         0          4          1       1      1           0           0        100      //[Cấp9] Cung Thiên Vũ
5           30         0          4          0       1      1           0           0        100      //[Cấp9] Gậy Giác Đấu	
5           31         0          4          0       1      1           0           0        100      //[Cấp9] Gậy Quỷ Vương	
5           32         0          4          0       1      1           0           0        100      //[Cấp9] Gậy Chiêm Tinh
6           17         0          4          1       1      1           0           0        100      //[Cấp9] Khiên Vinh Quang
6           18         0          4          1       1      1           0           0        100      //[Cấp9] Khiên Giác Đấu
6           19         0          4          1       1      1           0           0        100      //[Cấp9] Khiên Băng Tinh
6           20         0          4          1       1      1           0           0        100      //[Cấp9] Khiên Bạch Dương

7           45         0          4          0       1      1           0           0        100      //[Cấp9] Mũ Thần Thoại
8           45         0          4          0       1      1           0           0        100      //[Cấp9] Áo Thần Thoại
9           45         0          4          0       1      1           0           0        100      //[Cấp9] Quần Thần Thoại
10          45         0          4          0       1      1           0           0        100      //[Cấp9] Găng Thần Thoại
11          45         0          4          0       1      1           0           0        100      //[Cấp9] Giầy Thần Thoại

7           46         0          4          0       1      1           0           0        100      //[Cấp9] Mũ Hoàng Long
8           46         0          4          0       1      1           0           0        100      //[Cấp9] Áo Hoàng Long
9           46         0          4          0       1      1           0           0        100      //[Cấp9] Quần Hoàng Long
10          46         0          4          0       1      1           0           0        100      //[Cấp9] Găng Hoàng Long
11          46         0          4          0       1      1           0           0        100      //[Cấp9] Giầy Hoàng Long

8           47         0          4          0       1      1           0           0        100      //[Cấp9] Mũ Bóng Ma
9           47         0          4          0       1      1           0           0        100      //[Cấp9] Áo Bóng Ma
10          47         0          4          0       1      1           0           0        100      //[Cấp9] Quần Bóng Ma
11          47         0          4          0       1      1           0           0        100      //[Cấp9] Găng Bóng Ma

