00:06:22 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
00:08:46 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
00:13:25 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
00:16:44 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
01:26:12 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
01:35:29 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
01:35:32 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
01:38:00 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
01:39:02 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
01:45:53 Lỗi: Tài khoản không tồn tại (Tài khoản: 1, Mật khẩu: 1, IP: 192.168.1.7)
01:45:53 Tài khoản mới đã được tạo. (Tài khoản: 1, Mật khẩu: 1, IP: 192.168.1.7)
01:45:56 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
01:51:34 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
01:55:12 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
01:55:17 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
01:57:51 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
02:44:48 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
02:48:20 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
02:48:44 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
02:53:00 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
02:54:51 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
02:56:08 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
02:56:22 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
02:57:38 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
02:59:35 Lỗi: Tài khoản không tồn tại (Tài khoản: 2, Mật khẩu: 2, IP: 192.168.1.7)
02:59:35 Tài khoản mới đã được tạo. (Tài khoản: 2, Mật khẩu: 2, IP: 192.168.1.7)
02:59:36 Tài khoản vừa đăng nhập. (Tài khoản: 2, IP: 192.168.1.7, Nhóm Sub: 0)
02:59:44 [AccountInfo] Account disconnected (Account: 2, IpAddress: 192.168.1.7, GameServerCode: 0)
02:59:59 Tài khoản vừa đăng nhập. (Tài khoản: 2, IP: 192.168.1.7, Nhóm Sub: 0)
03:00:03 [AccountInfo] Account disconnected (Account: 2, IpAddress: 192.168.1.7, GameServerCode: 0)
03:00:06 Tài khoản vừa đăng nhập. (Tài khoản: 2, IP: 192.168.1.7, Nhóm Sub: 1)
03:03:11 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
03:03:11 [AccountInfo] Account disconnected (Account: 2, IpAddress: 192.168.1.7, GameServerCode: 1)
03:04:19 Tài khoản vừa đăng nhập. (Tài khoản: 2, IP: 192.168.1.7, Nhóm Sub: 0)
03:04:27 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 1)
03:07:23 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 1)
03:08:19 [AccountInfo] Account disconnected (Account: 2, IpAddress: 192.168.1.7, GameServerCode: 0)
03:08:21 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
03:08:27 Tài khoản vừa đăng nhập. (Tài khoản: 2, IP: 192.168.1.7, Nhóm Sub: 1)
22:57:48 [AccountInfo] Account disconnected (Account: 2, IpAddress: 192.168.1.7, GameServerCode: 1)
22:57:48 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
22:58:42 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
23:19:50 [AccountInfo] Account disconnected by clear (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
23:20:08 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
23:28:05 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
23:29:10 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
23:29:25 Tài khoản vừa đăng nhập. (Tài khoản: 2, IP: 192.168.1.7, Nhóm Sub: 0)
23:35:53 [AccountInfo] Account disconnected (Account: 2, IpAddress: 192.168.1.7, GameServerCode: 0)
23:35:57 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
23:36:12 Tài khoản vừa đăng nhập. (Tài khoản: 2, IP: 192.168.1.7, Nhóm Sub: 0)
23:36:17 [AccountInfo] Account disconnected (Account: 2, IpAddress: 192.168.1.7, GameServerCode: 0)
23:36:44 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
23:36:54 Tài khoản vừa đăng nhập. (Tài khoản: 2, IP: 192.168.1.7, Nhóm Sub: 0)
23:36:57 [AccountInfo] Account disconnected (Account: 2, IpAddress: 192.168.1.7, GameServerCode: 0)
23:37:08 Tài khoản vừa đăng nhập. (Tài khoản: 2, IP: 192.168.1.7, Nhóm Sub: 1)
23:42:58 [AccountInfo] Account disconnected (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 0)
23:43:00 [AccountInfo] Account disconnected (Account: 2, IpAddress: 192.168.1.7, GameServerCode: 1)
23:44:46 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 1)
23:44:56 Tài khoản vừa đăng nhập. (Tài khoản: 2, IP: 192.168.1.7, Nhóm Sub: 1)
23:46:04 [AccountInfo] Account disconnected by clear (Account: 1, IpAddress: 192.168.1.7, GameServerCode: 1)
23:46:04 [AccountInfo] Account disconnected by clear (Account: 2, IpAddress: 192.168.1.7, GameServerCode: 1)
23:46:28 Tài khoản vừa đăng nhập. (Tài khoản: 1, IP: 192.168.1.7, Nhóm Sub: 0)
23:46:39 Tài khoản vừa đăng nhập. (Tài khoản: 2, IP: 192.168.1.7, Nhóm Sub: 0)
23:50:42 [AccountInfo] Account disconnected (Account: 2, IpAddress: 192.168.1.7, GameServerCode: 0)
