19:49:45 Tài khoản vừa đăng nhập. (Tài khoản: laclac24, IP: 127.0.0.1, Nhóm Sub: 0)
19:49:45 [AccountInfo] Account disconnected (Account: laclac24, IpAddress: 127.0.0.1, GameServerCode: 0)
19:49:50 Tài khoản vừa đăng nhập. (Tài khoản: donpv, IP: 127.0.0.1, Nhóm Sub: 0)
19:51:02 [AccountInfo] Account disconnected (Account: donpv, IpAddress: 127.0.0.1, GameServerCode: 0)
19:52:09 Tài khoản vừa đăng nhập. (Tài khoản: donpv, IP: 127.0.0.1, Nhóm Sub: 0)
19:53:05 [AccountInfo] Account disconnected (Account: donpv, IpAddress: 127.0.0.1, GameServerCode: 0)
19:55:18 Tài khoản vừa đăng nhập. (Tài khoản: donpv, IP: 127.0.0.1, Nhóm Sub: 0)
20:02:08 [AccountInfo] Account disconnected by clear (Account: donpv, IpAddress: 127.0.0.1, GameServerCode: 0)
20:02:42 Tài khoản vừa đăng nhập. (Tài khoản: donpv, IP: 127.0.0.1, Nhóm Sub: 0)
20:03:47 [AccountInfo] Account disconnected (Account: donpv, IpAddress: 127.0.0.1, GameServerCode: 0)
20:05:45 Tài khoản vừa đăng nhập. (Tài khoản: donpv, IP: 127.0.0.1, Nhóm Sub: 0)
20:08:14 Tài khoản vừa đăng nhập. (Tài khoản: thuynguyen, IP: 127.0.0.1, Nhóm Sub: 0)
20:08:14 [AccountInfo] Account disconnected (Account: thuynguyen, IpAddress: 127.0.0.1, GameServerCode: 0)
20:08:17 Tài khoản vừa đăng nhập. (Tài khoản: thuynguyen, IP: 127.0.0.1, Nhóm Sub: 0)
20:08:17 [AccountInfo] Account disconnected (Account: thuynguyen, IpAddress: 127.0.0.1, GameServerCode: 0)
20:08:22 Tài khoản vừa đăng nhập. (Tài khoản: thuynguyen, IP: 127.0.0.1, Nhóm Sub: 0)
20:08:22 [AccountInfo] Account disconnected (Account: thuynguyen, IpAddress: 127.0.0.1, GameServerCode: 0)
20:08:53 Tài khoản vừa đăng nhập. (Tài khoản: thuythuy, IP: 127.0.0.1, Nhóm Sub: 0)
20:08:53 [AccountInfo] Account disconnected (Account: thuythuy, IpAddress: 127.0.0.1, GameServerCode: 0)
20:09:01 Tài khoản vừa đăng nhập. (Tài khoản: thuythuy, IP: 127.0.0.1, Nhóm Sub: 0)
20:09:01 [AccountInfo] Account disconnected (Account: thuythuy, IpAddress: 127.0.0.1, GameServerCode: 0)
20:12:35 Tài khoản vừa đăng nhập. (Tài khoản: thuythuy, IP: 127.0.0.1, Nhóm Sub: 0)
20:14:44 [AccountInfo] Account disconnected by clear (Account: donpv, IpAddress: 127.0.0.1, GameServerCode: 0)
20:14:44 [AccountInfo] Account disconnected by clear (Account: thuythuy, IpAddress: 127.0.0.1, GameServerCode: 0)
20:14:52 Tài khoản vừa đăng nhập. (Tài khoản: thuythuy, IP: 127.0.0.1, Nhóm Sub: 0)
20:14:52 Tài khoản vừa đăng nhập. (Tài khoản: donpv, IP: 127.0.0.1, Nhóm Sub: 0)
20:15:12 [AccountInfo] Account disconnected (Account: thuythuy, IpAddress: 127.0.0.1, GameServerCode: 0)
20:15:13 Tài khoản vừa đăng nhập. (Tài khoản: thuythuy, IP: 127.0.0.1, Nhóm Sub: 1)
20:15:16 [AccountInfo] Account disconnected (Account: donpv, IpAddress: 127.0.0.1, GameServerCode: 0)
20:15:17 Tài khoản vừa đăng nhập. (Tài khoản: donpv, IP: 127.0.0.1, Nhóm Sub: 1)
20:55:14 Lỗi: Tài khoản không tồn tại (Tài khoản: , Mật khẩu: , IP: 43.30.162.179)
20:55:14 Tài khoản vừa đăng nhập. (Tài khoản: bot, IP: 52.96.203.212, Nhóm Sub: 1)
20:55:14 Tài khoản vừa đăng nhập. (Tài khoản: bot1, IP: 221.40.179.99, Nhóm Sub: 1)
20:55:14 Tài khoản vừa đăng nhập. (Tài khoản: bot10, IP: 99.125.132.59, Nhóm Sub: 1)
20:55:14 Tài khoản vừa đăng nhập. (Tài khoản: bot11, IP: 125.65.13.157, Nhóm Sub: 1)
20:55:14 Tài khoản vừa đăng nhập. (Tài khoản: bot12, IP: 158.13.213.201, Nhóm Sub: 1)
20:55:14 Tài khoản vừa đăng nhập. (Tài khoản: bot13, IP: 5.190.88.68, Nhóm Sub: 1)
