19:59:54 Tài khoản vừa đăng nhập. (Tài khoản: thuythuy, IP: 127.0.0.1, Nhóm Sub: 0)
20:00:07 [AccountInfo] Account disconnected (Account: thuythuy, IpAddress: 127.0.0.1, GameServerCode: 0)
20:03:54 Tài khoản vừa đăng nhập. (Tài khoản: thuythuy, IP: 127.0.0.1, Nhóm Sub: 1)
20:35:02 [AccountInfo] Account disconnected (Account: thuythuy, IpAddress: 127.0.0.1, GameServerCode: 1)
20:35:09 Tài khoản vừa đăng nhập. (Tài khoản: thuythuy, IP: 127.0.0.1, Nhóm Sub: 1)
20:37:25 [AccountInfo] Account disconnected (Account: thuythuy, IpAddress: 127.0.0.1, GameServerCode: 1)
21:03:52 Tài khoản vừa đăng nhập. (Tài khoản: thuythuy, IP: 127.0.0.1, Nhóm Sub: 1)
21:04:11 [AccountInfo] Account disconnected (Account: thuythuy, IpAddress: 127.0.0.1, GameServerCode: 1)
22:40:53 Tài khoản vừa đăng nhập. (Tài khoản: thuythuy, IP: 127.0.0.1, Nhóm Sub: 0)
22:41:42 [AccountInfo] Account disconnected (Account: thuythuy, IpAddress: 127.0.0.1, GameServerCode: 0)
22:45:15 Tài khoản vừa đăng nhập. (Tài khoản: thuythuy, IP: 127.0.0.1, Nhóm Sub: 0)
22:53:26 [AccountInfo] Account disconnected (Account: thuythuy, IpAddress: 127.0.0.1, GameServerCode: 0)
22:55:25 Tài khoản vừa đăng nhập. (Tài khoản: thuythuy, IP: 127.0.0.1, Nhóm Sub: 0)
22:56:30 [AccountInfo] Account disconnected (Account: thuythuy, IpAddress: 127.0.0.1, GameServerCode: 0)
22:58:45 Tài khoản vừa đăng nhập. (Tài khoản: thuythuy, IP: 127.0.0.1, Nhóm Sub: 0)
23:09:11 [AccountInfo] Account disconnected (Account: thuythuy, IpAddress: 127.0.0.1, GameServerCode: 0)
